transposal |The act of transposing, or the state of being transposed; transposition.
treble |1. Threefold; triple. A lofty tower, and strong on every side With treble walls. Dryden. 2. (Mus.) (a) Acute; sharp; as, a treble sound. Bacon. (b) Playing or singing the highest part or most acute sounds; playing or singing the treble; as, a treble violin or voice.\n\nTrebly; triply. [Obs.] J. Fletcher.\n\nThe highest of the four principal parts in music; the part usually sung by boys or women; soprano. Note: This is sometimes called the first treble, to distinguish it from the second treble, or alto, which is sung by lower female voices.\n\n1. To make thrice as much; to make threefold. \"Love trebled life.\" Tennyson. 2. To utter in a treble key; to whine. [Obs.] He outrageously (When I accused him) trebled his reply. Chapman.\n\nTo become threefold. Swift.
trebleness |The quality or state of being treble; as, the trebleness of tones. Bacon.
treblet |Same as Triblet.
trebly |In a treble manner; with a threefold number or quantity; triply. Swift.
trebuchet |1. A cucking stool; a tumbrel. Cowell. 2. A military engine used in the Middle Ages for throwing stones, etc. It acted by means of a great weight fastened to the short arm of a lever, which, being let fall, raised the end of the long arm with great velocity, hurling stones with much force. 3. A kind of balance for weighing. [Obs.]
trebucket |1. A cucking stool; a tumbrel. Cowell. 2. A military engine used in the Middle Ages for throwing stones, etc. It acted by means of a great weight fastened to the short arm of a lever, which, being let fall, raised the end of the long arm with great velocity, hurling stones with much force. 3. A kind of balance for weighing. [Obs.]
trecentist |A member of the trecento, or an imitator of its characteristics.
trecento |The fourteenth century, when applied to Italian art, literature, etc. It marks the period of Dante, Petrarch, and boccaccio in literature, and of Giotto in painting.
trechometer |An odometer for vehicles. Knight.
treckschuyt |A covered boat for goods and passengers, used on the Dutch and Flemish canals.
treddle |1. See Treadle. 2. A prostitute; a strumpet. [Obs.] Ford. 3. pl.  The dung of sheep or hares. Holland.
tredille |A game at cards for three.
tree |1. (Bot.)  Any perennial woody plant of considerable size (usually over twenty feet high) and growing with a single trunk. Note: The kind of tree referred to, in any particular case, is often indicated by a modifying word; as forest tree, fruit tree, palm tree, apple tree, pear tree, etc. 2. Something constructed in the form of, or considered as resembling, a tree, consisting of a stem, or stock, and branches; as, a genealogical tree. 3. A piece of timber, or something commonly made of timber; -- used in composition, as in axletree, boottree, chesstree, crosstree, whiffletree, and the like. 4. A cross or gallows; as Tyburn tree. [Jesus] whom they slew and hanged on a tree. Acts x. 39. 5. Wood; timber. [Obs.] Chaucer. In a great house ben not only vessels of gold and of silver but also of tree and of earth. Wyclif (2 Tim. ii. 20). 6. (Chem.)  A mass of crystals, aggregated in arborescent forms, obtained by precipitation of a metal from solution. See Lead tree, under Lead. Tree bear (Zoöl.), the raccoon. [Local, U.S.] -- Tree beetle (Zoöl.) any one of numerous species of beetles which feed on the leaves of trees and shrubs, as the May beetles, the rose beetle, the rose chafer, and the goldsmith beetle. -- Tree bug (Zoöl.), any one of numerous species of hemipterous insects which live upon, and suck the sap of, trees and shrubs. They belong to Arma, Pentatoma, Rhaphigaster, and allied genera. -- Tree cat (Zool.), the common paradoxure (Paradoxurus musang). -- Tree clover (Bot.), a tall kind of melilot (Melilotus alba). See Melilot. -- Tree crab (Zoöl.), the purse crab. See under Purse. -- Tree creeper (Zoöl.), any one of numerous species of arboreal creepers belonging to Certhia, Climacteris, and allied genera. See Creeper, 3. -- Tree cricket (Zoöl.), a nearly white arboreal American cricket (Ecanthus nivoeus) which is noted for its loud stridulation; -- called also white cricket. -- Tree crow (Zoöl.), any one of several species of Old World crows belonging to Crypsirhina and allied genera, intermediate between the true crows and the jays. The tail is long, and the bill is curved and without a tooth. -- Tree dove (Zoöl.) any one of several species of East Indian and Asiatic doves belonging to Macropygia and allied genera. They have long and broad tails, are chiefly arboreal in their habits, and feed mainly on fruit. -- Tree duck (Zoöl.), any one of several species of ducks belonging to Dendrocygna and allied genera. These ducks have a long and slender neck and a long hind toe. They are arboreal in their habits, and are found in the tropical parts of America, Africa, Asia, and Australia. -- Tree fern (Bot.), an arborescent fern having a straight trunk, sometimes twenty or twenty-five feet high, or even higher, and bearing a cluster of fronds at the top. Most of the existing species are tropical. -- Tree fish (Zoöl.), a California market fish (Sebastichthys serriceps). -- Tree frog. (Zoöl.) (a) Same as Tree toad. (b) Any one of numerous species of Old World frogs belonging to Chiromantis, Rhacophorus, and allied genera of the family Ranidæ. Their toes are furnished with suckers for adhesion. The flying frog (see under Flying) is an example. -- Tree goose (Zoöl.), the bernicle goose. -- Tree hopper (Zoöl.), any one of numerous species of small leaping hemipterous insects which live chiefly on the branches and twigs of trees, and injure them by sucking the sap. Many of them are very odd in shape, the prothorax being often prolonged upward or forward in the form of a spine or crest. -- Tree jobber (Zoöl.), a woodpecker. [Obs.] -- Tree kangaroo. (Zoöl.) See Kangaroo. -- Tree lark (Zoöl.), the tree pipit. [Prov. Eng.] -- Tree lizard (Zoöl.), any one of a group of Old World arboreal lizards (Dendrosauria) comprising the chameleons. -- Tree lobster. (Zoöl.) Same as Tree crab, above. -- Tree louse (Zoöl.), any aphid; a plant louse. -- Tree moss. (Bot.) (a) Any moss or lichen growing on trees. (b) Any species of moss in the form of a miniature tree. -- Tree mouse (Zoöl.), any one of several species of African mice of the subfamily Dendromyinæ. They have long claws and habitually live in trees. -- Tree nymph, a wood nymph. See Dryad. -- Tree of a saddle, a saddle frame. -- Tree of heaven (Bot.), an ornamental tree (Ailantus glandulosus) having long, handsome pinnate leaves, and greenish flowers of a disagreeable odor. -- Tree of life (Bot.), a tree of the genus Thuja; arbor vitæ. -- Tree onion (Bot.), a species of garlic (Allium proliferum) which produces bulbs in place of flowers, or among its flowers. -- Tree oyster (Zoöl.), a small American oyster (Ostrea folium) which adheres to the roots of the mangrove tree; -- called also raccoon oyster. -- Tree pie (Zoöl.), any species of Asiatic birds of the genus Dendrocitta. The tree pies are allied to the magpie. -- Tree pigeon (Zoöl.), any one of numerous species of longwinged arboreal pigeons native of Asia, Africa, and Australia, and belonging to Megaloprepia, Carpophaga, and allied genera. -- Tree pipit. (Zoöl.) See under Pipit. -- Tree porcupine (Zoöl.), any one of several species of Central and South American arboreal porcupines belonging to the genera Chætomys and Sphingurus. They have an elongated and somewhat prehensile tail, only four toes on the hind feet, and a body covered with short spines mixed with bristles. One South American species (S. villosus) is called also couiy; another (S. prehensilis) is called also coendou. -- Tree rat (Zoöl.), any one of several species of large ratlike West Indian rodents belonging to the genera Capromys and Plagiodon. They are allied to the porcupines. -- Tree serpent (Zoöl.), a tree snake. -- Tree shrike (Zoöl.), a bush shrike. -- Tree snake (Zoöl.), any one of numerous species of snakes of the genus Dendrophis. They live chiefly among the branches of trees, and are not venomous. -- Tree sorrel (Bot.), a kind of sorrel (Rumex Lunaria) which attains the stature of a small tree, and bears greenish flowers. It is found in the Canary Islands and Teneriffe. -- Tree sparrow (Zoöl.) any one of several species of small arboreal sparrows, especially the American tree sparrow (Spizella monticola), and the common European species (Passer montanus). -- Tree swallow (Zoöl.), any one of several species of swallows of the genus Hylochelidon which lay their eggs in holes in dead trees. They inhabit Australia and adjacent regions. Called also martin in Australia. -- Tree swift (Zoöl.), any one of several species of swifts of the genus Dendrochelidon which inhabit the East Indies and Southern Asia. -- Tree tiger (Zoöl.), a leopard. -- Tree toad (Zoöl.), any one of numerous species of amphibians belonging to Hyla and allied genera of the family Hylidæ. They are related to the common frogs and toads, but have the tips of the toes expanded into suckers by means of which they cling to the bark and leaves of trees. Only one species (Hyla arborea) is found in Europe, but numerous species occur in America and Australia. The common tree toad of the Northern United States (H. versicolor) is noted for the facility with which it changes its colors. Called also tree frog. See also Piping frog, under Piping, and Cricket frog, under Cricket. -- Tree warbler (Zoöl.), any one of several species of arboreal warblers belonging to Phylloscopus and allied genera. -- Tree wool (Bot.), a fine fiber obtained from the leaves of pine trees.\n\n1. To drive to a tree; to cause to ascend a tree; as, a dog trees a squirrel. J. Burroughs. 2. To place upon a tree; to fit with a tree; to stretch upon a tree; as, to tree a boot. See Tree, n., 3.
tree burial |Disposal of the dead by placing the corpse among the branches of a tree or in a hollow trunk, a practice among many primitive peoples.
tree calf |A bright brown polished calfskin binding of  books, stained with a conventional treelike design.
treebeard |A pendulous branching lichen (Usnea barbata); -- so called from its resemblance to hair.
treeful |The quantity or number which fills a tree.
treeless |Destitute of trees. C. Kingsley.
treen |1. Made of wood; wooden. [Obs.] \" Treen cups.\" Camden. 2. Relating to, or drawn from, trees. [Obs.] Spenser. Treen liquors, especially that of the date. Evelyn.\n\npl. of Tree. \" The shady treen.\" Fairfax.
treenail |A long wooden pin used in fastening the planks of a vessel to the timbers or to each other. [Written also trenail, and trunnel.]
tref |Ceremonially unclean, according to the Jewish law; -- opposed to kosher.
trefle |A species of time; -- so called from its resemblance in form to a trefoil.\n\nHaving a three-lobed extremity or extremities, as a cross; also, more rarely, ornamented with trefoils projecting from the edges, as a bearing.
trefoil |1. (Bot.)  Any plant of the genus Trifolium, which includes the white clover, red clover, etc.; -- less properly, applied also to the nonesuch, or black medic. See Clover, and Medic. 2. (Arch.)  An ornamental foliation consisting of three divisions, or foils. 3. (Her.)  A charge representing the clover leaf.
trefoiled |Same as Tréflé.
treget |Guile; trickery. [Obs.] Rom. of R.
tregetour |A juggler who produces illusions by the use of elaborate machinery. [Obs.] Divers appearances Such as these subtle tregetours play. Chaucer.
tregetry |Trickery; also, a trick. [Obs.] Rom. of R.
trehala |An amorphous variety of manna obtained from the nests and cocoons of a Syrian coleopterous insect (Larinus maculatus, L. nidificans, etc.) which feeds on the foliage of a variety of thistle. It is used as an article of food, and is called also nest sugar.
trehalose |Mycose; -- so called because sometimes obtained from trehala.
treillage |Latticework for supporting vines, etc.; an espalier; a trellis. Spectator. I shall plant the roses against my treillage to-morrow. Walpole.
trek |1. To draw or haul a load, as oxen. 2.  To travel, esp. by ox wagon; to go from place to place; to migrate. [Chiefly South Africa] One of the motives which induced the Boers of 1836 to trek out of the Colony. James Bryce.\n\nThe act of trekking; a drawing or a traveling; a journey; a migration. [Chiefly South Africa] To the north a trek was projected, and some years later was nearly carried out, for the occupation of the Mashonaland. James Bryce. Great Trek, the great emigration of Boers from Cape Colony which began in 1836, and resulted in the founding of the South African Republic and Orange Free State.
trekker |One that treks. [Written also trecker.] [South Africa]  James Bryce.
trekometer |A field range finger used in the British service.
trellis |A structure or frame of crossbarred work, or latticework, used for various purposes, as for screens or for supporting plants.
trellised |Having a trellis or trellises. Cottages trellised over with exotic plants. Jeffrey.
tremando |Trembling; -- used as a direction to perform a passage with a general shaking of the whole chord.
trematode |One of the Trematodea. Also used adjectively.
trematodea |An extensive order of parasitic worms. They are found in the internal cavities of animals belonging to all classes. Many species are found, also, on the gills and skin of fishes. A few species are parasitic on man, and some, of which the fluke is the most important, are injurious parasites of domestic animals. The trematodes usually have a flattened body covered with a chitinous skin, and are furnished with two or more suckers for adhesion. Most of the species are hermaphrodite. Called also Trematoda, and Trematoidea. See Fluke, Tristoma, and Cercaria.
trematoid |f or pertaining to the Trematodea. See Illustration in Appendix.
tremble |1. To shake involuntarily, as with fear, cold, or weakness; to quake; to quiver; to shiver; to shudder; -- said of a person or an animal. I tremble still with fear. Shak. Frighted Turnus trembled as he spoke. Dryden. 2. To totter; to shake; -- said of a thing. The Mount of Sinai, whose gray top Shall tremble. Milton. 3. To quaver or shake, as sound; to be tremulous; as the voice trembles.\n\nAn involuntary shaking or quivering. I am all of a tremble when I think of it. W. Black.
trembler |One who trembles.
trembling |Shaking; tottering; quivering. -- Trem\"bling*ly, adv. Trembling poplar (Bot.), the aspen.
tremella |A genus of gelatinous fungi found in moist grounds.
tremendous |Fitted to excite fear or terror; such as may astonish or terrify by its magnitude, force, or violence; terrible; dreadful; as, a tremendous wind; a tremendous shower; a tremendous shock or fall. A tremendous mischief was a foot. Motley. Syn. -- Terrible; dreadful; frightful; terrific; horrible; awful. -- Tre*men\"dous*ly, adv. -- Tre*men\"dous*ness, n.
tremex |A genus of large hymenopterous insects allied to the sawflies. The female lays her eggs in holes which she bores in the trunks of trees with her large and long ovipositor, and the larva bores in the wood. See Illust. of Horntail. Note: The pigeon tremex (Tremex columba), a common American species, infests the elm, pear, and other trees.
tremie |An apparatus for depositing and consolidating concrete under water, essentially a tube of wood or sheet metal with a hooperlike top. It is usually handled by a crane.
tremolando |Same as Tremando.
tremolite |A white variety of amphibole, or hornblende, occurring in long, bladelike crystals, and coarsely fibrous masses.
tremolo |(a) The rapid reiteration of tones without any apparent cessation, so as to produce a tremulous effect. (b) A certain contrivance in an organ, which causes the notes to sound with rapid pulses or beats, producing a tremulous effect; -- called also tremolant, and tremulant.
tremor |A trembling; a shivering or shaking; a quivering or vibratory motion; as, the tremor of a person who is weak, infirm, or old. He fell into an universal tremor of all his joints. Harvey.
tremulant |Tremulous; trembling; shaking. [R.] \" With tremulent white rod.\" Carlyle.
tremulent |Tremulous; trembling; shaking. [R.] \" With tremulent white rod.\" Carlyle.
tremulous |1. Shaking; shivering; quivering; as, a tremulous limb; a tremulous motion of the hand or the lips; the tremulous leaf of the poplar. 2. Affected with fear or timidity; trembling. The tender, tremulous Christian. Dr. H. More. -- Trem\"u*lous*ly, adv. -- Trem\"u*lous*ness, n.
tren |A fish spear. [Obs.] Ainsworth.
trenail |Same as Treenail.
trench |1. To cut; to form or shape by cutting; to make by incision, hewing, or the like. The wide wound that the boar had trenched In his soft flank. Shak. This weak impress of love is as a figure Trenched in ice, which with an hour's heat Dissolves to water, and doth lose its form. Shak. 2. (Fort.)  To fortify by cutting a ditch, and raising a rampart or breastwork with the earth thrown out of the ditch; to intrench. Pope. No more shall trenching war channel her fields. Shak. 3. To cut furrows or ditches in; as, to trench land for the purpose of draining it. 4. To dig or cultivate very deeply, usually by digging parallel contiguous trenches in succession, filling each from the next; as, to trench a garden for certain crops.\n\n1. To encroach; to intrench. Does it not seem as if for a creature to challenge to itself a boundless attribute, were to trench upon the prerogative of the divine nature I. Taylor. 2. To have direction; to aim or tend. [R.] Bacon. To trench at, to make trenches against; to approach by trenches, as a town in besieging it. [Obs.] Like powerful armies, trenching at a town By slow and silent, but resistless, sap. Young.\n\n1. A long, narrow cut in the earth; a ditch; as, a trench for draining land. Mortimer. 2. An alley; a narrow path or walk cut through woods, shrubbery, or the like. [Obs.] In a trench, forth in the park, goeth she. Chaucer. 3. (Fort.)  An excavation made during a siege, for the purpose of covering the troops as they advance toward the besieged place. The term includes the parallels and the approaches. To open the trenches (Mil.), to begin to dig or to form the lines of approach. Trench cavalier (Fort.), an elevation constructed (by a besieger) of gabions, fascines, earth, and the like, about half way up the glacis, in order to discover and enfilade the covered way. -- Trench plow, or Trench plough, a kind of plow for opening land to a greater depth than that of common furrows.
trench-plough |To plow with deep furrows, for the purpose of loosening the land to a greater depth than usual.
trench-plow |To plow with deep furrows, for the purpose of loosening the land to a greater depth than usual.
trenchand |Trenchant. [Obs.] Spenser.
trenchant |1. Fitted to trench or cut; gutting; sharp. \" Trenchant was the blade.\" Chaucer. 2. Fig.: Keen; biting; severe; as, trenchant wit.
trenchantly |In a trenchant, or sharp, manner; sharply; severely.
trencher |1. One who trenches; esp., one who cuts or digs ditches. 2. A large wooden plate or platter, as for table use. 3. The table; hence, the pleasures of the table; food. It could be no ordinary declension of nature that could bring some men, after an ingenuous education, to place their \"summum bonum\" upon their trenchers. South. Trencher cap, the cap worn by studens at Oxford and Cambridge Universities, having a stiff, flat, square appendage at top. A similar cap used in the United States is called Oxford cap, mortar board, etc. -- Trencher fly, a person who haunts the tables of others; a parasite. [R.] L'Estrange. -- Trencher friend, one who frequents the tables of others; a sponger. -- Trencher mate, a table companion; a parasite; a trencher fly. Hooker.
trencher-man |1. A feeder; a great eater; a gormandizer. Shak. 2. A cook. [Obs.] The skillfulest trencher-men of Media. Sir P. Sidney. 3. A table companion; a trencher mate. Thackeray.
trenchmore |A kind of lively dance of a rude, boisterous character. Also, music in triple time appropriate to the dance. [Obs.] All the windows in the town dance new trenchmore. Beau. & Fl.\n\nTo dance the trenchmore. [Obs.] Marston.
trend |To have a particular direction; to run; to stretch; to tend; as, the shore of the sea trends to the southwest.\n\nTo cause to turn; to bend. [R.] Not far beneath i' the valley as she trends Her silver stream. W. Browne.\n\nInclination in a particular direction; tendency; general direction; as, the trend of a coast. Trend of an anchor. (Naut.) (a) The lower end of the shank of an anchor, being the same distance on the shank from the throat that the arm measures from the throat to the bill. R. H. Dana, Jr. (b) The angle made by the line of a vessel's keel and the direction of the anchor cable, when she is swinging at anchor.\n\nTo cleanse, as wool. [Prov. Eng.]\n\nClean wool. [Prov. Eng.]
trender |One whose business is to free wool from its filth. [Prov. Eng.]
trendle |A wheel, spindle, or the like; a trundle. [Obs.] The shaft the wheel, the wheel, the trendle turns. Sylvester.
trennel |Corrupt form of Treenail.
trental |1. (R. C. Ch.)  An office and mass for the dead on the thirtieth day after death or burial. \"Their trentals and their shrifts.\" Spenser. 2. Hence, a dirge; an elegy.
trente et quarante |Same as Rouge et noir, under Rouge.
trenton period |A subdivision in the lower Silurian system of America; -- so named from Trenton Falls, in New York. The rocks are mostly limestones, and the period is divided into the Trenton, Utica, and Cincinnati epochs. See the Chart of Geology.
trepan |1. (Surg.)  A crown-saw or cylindrical saw for perforating the skull, turned, when used, like a bit or gimlet. See Trephine. 2. (Mining)  A kind of broad chisel for sinking shafts.\n\nTo perforate (the skull) with a trepan, so as to remove a portion of the bone, and thus relieve the brain from pressure or irritation; to perform an operation with the trepan.\n\n1. A snare; a trapan. Snares and trepans that common life lays in its way. South. 2. a deceiver; a cheat. He had been from the beginning a spy and a trepan. Macaulay.\n\nTo insnare; to trap; to trapan. Guards even of a dozen men were silently trepanned from their stations. De Quincey.
trepang |Any one of several species of large holothurians, some of which are dried and extensively used as food in China; -- called also bêche de mer, sea cucumber, and sea slug. [Written also tripang.] Note: The edible trepangs are mostly large species of Holothuria, especially H. edulis. They are taken in vast quantities in the East Indies, where they are dried and smoked, and then shipped to China. They are used as an ingredient in certain kinds of soup.
trepanize |To trepan. [Obs.] \"By trepanizing the skull.\" Jer. Taylor.
trepanner |One who trepans. \" Pitiful trepanners and impostors.\" Gauden.
trepeget |A trebuchet. [Obs.]
trephine |An instrument for trepanning, being an improvement on the trepan. It is a circular or cylindrical saw, with a handle like that of a gimlet, and a little sharp perforator called the center pin.\n\nTo perforate with a trephine; to trepan.
trepid |Trembling; quaking. Thackeray.
trepidation |1. An involuntary trembling, sometimes an effect of paralysis, but usually caused by terror or fear; quaking; quivering. 2. Hence, a state of terror or alarm; fear; confusion; fright; as, the men were in great trepidation. 3. (Anc. Astron.)  A libration of the starry sphere in the Ptolemaic system; a motion ascribed to the firmament, to account for certain small changes in the position of the ecliptic and of the stars. Syn. -- Tremor; agitation; disturbance; fear.
trepidity |Trepidation. [R.]
tres-tine |The third tine above the base of a stag's antler; the royal antler.
tres-tyne |In the antler of a stag, the third tyne above the base. This tyne appears in the third year. In those deer in which the brow tyne does not divide, the tres-tyne is the second tyne above the base. See Illust. under Rucervine, and under Rusine.
tresayle |A grandfather's grandfather. [Obs.] Writ of tresayle (O. Eng. Law), a writ which lay for a man claiming as heir to his grandfather's grandfather, to recover lands of which he had been deprived by an abatement happening on the ancestor's death. Mozley & W.
tresor |Treasure. [Obs.] Chaucer.
trespasser |One who commits a trespass; as: (a) (Law) One who enters upon another's land, or violates his rights. (b) A transgressor of the moral law; an offender; a sinner.
tress |1. A braid, knot, or curl, of hair; a ringlet. Her yellow hair was braided in a tress. Chaucer. Fair tresses man's imperial race insnare. Pope. 2. Fig.: A knot or festoon, as of flowers. Keats.
tressed |1. Having tresses. 2. Formed into ringlets or braided; braided; curled. Spenser. Drayton.
tressel |A trestle.
tressful |Tressy. [R.] Sylvester.
tressure |A kind of border similar to the orle, but of only half the breadth of the latter.
tressured |Provided or bound with a tressure; arranged in the form of a tressure. The tressured fleur-de-lis he claims To wreathe his shield. Sir W. Scott.
tressy |Abounding in tresses. J. Baillie.
trestle |1. A movable frame or support for anything, as scaffolding, consisting of three or four legs secured to a top piece, and forming a sort of stool or horse, used by carpenters, masons, and other workmen; also, a kind of framework of strong posts or piles, and crossbeams, for supporting a bridge, the track of a railway, or the like. 2. The frame of a table. Trestle board, a board used by architects, draughtsmen, and the like, for drawing designs upon; -- so called because commonly supported by trestles. -- Trestle bridge. See under Bridge, n.
trestletree |One of two strong bars of timber, fixed horizontally on the opposite sides of the masthead, to support the crosstrees and the frame of the top; -- generally used in the plural. Totten.
trestlework |A viaduct, pier, scaffold, or the like, resting on trestles connected together.
tret |3d pers. sing. pres. of Tread, for treadeth. Chaucer.\n\nAn allowance to purchasers, for waste or refuse matter, of four pounds on every 104 pounds of suttle weight, or weight after the tare deducted. M'Culloch.
tretable |Tractable; moderate. [Obs.] By nature debonaire and tretable. Chaucer.
trething |A tax; an impost. [Obs.] Johnson.
tretis |A treatise; also, a treaty. [Obs.] Chaucer.\n\nLong and well-proportioned; nicely made; pretty. [Obs.] \"Her nose tretys.\" Chaucer.
tretys |A treatise; also, a treaty. [Obs.] Chaucer.\n\nLong and well-proportioned; nicely made; pretty. [Obs.] \"Her nose tretys.\" Chaucer.
trevat |A weaver's cutting instrument; for severing the loops of the pile threads of velvet.
trevet |A stool or other thing supported by three legs; a trivet.
trew |True. [Obs.] Chaucer.
trewe |True. [Obs.] Chaucer.
trews |Trowsers; especially, those of the Scotch Highlanders. \"He wore the trews, or close trowsers, made of tartan.\" Sir W. Scott.
trewth |Truth. [Obs.] Chaucer.
trey |Three, at cards, dice, or dominoes; a card, die, or domino of three spots or pips. Seven is my chance and thine is cinq and trey. Chaucer.
tri- |1. A prefix meaning three, thrice, threefold; as in tricolored, tridentate. 2. (Chem.)  A prefix (also used adjectively) denoting three proportional or combining part, or the third degree of that to the name of which it is prefixed; as in trisulphide, trioxide, trichloride.
triable |1. Fit or possible to be tried; liable to be subjected to trial or test. \"Experiments triable.\" Boyle. 2. (Law)  Liable to undergo a judicial examination; properly coming under the cognizance of a court; as, a cause may be triable before one court which is not triable in another.
triableness |Quality or state of being triable.
triacid |Capable of neutralizing three molecules of a monobasic acid or the equivalent; having three hydrogen atoms which may be acid radicals; -- said of certain bases; thus, glycerin is a triacid base.
triacle |See Treacle. [Obs.] Chaucer.
triacontahedral |Having thirty sides.
triaconter |A vessel with thirty banks of oars, or, as some say, thirty ranks of rowers.
triad |1. A union of three; three objects treated as one; a ternary; a trinity; as, a triad of deities. 2. (Mus.) (a) A chord of three notes. (b) The common chord, consisting of a tone with its third and fifth, with or without the octave. 3. (Chem.)  An element or radical whose valence is three. Triads of the Welsh bards, poetical histories, in which the facts recorded are grouped by threes, three things or circumstances of a kind being mentioned together. -- Hindoo triad. See Trimurti.
triadelphous |Having stamens joined by filaments into three bundles. See Illust. under Adelphous.
triadic |Having the characteristics of a triad; as, boron is triadic.
triakisoctahedron |A trigonal trisoctahedron.
trial |1. The act of trying or testing in any manner. Specifically: -- (a) Any effort or exertion of strength for the purpose of ascertaining what can be done or effected. [I] defy thee to the trial of mortal fight. Milton. (b) The act of testing by experience; proof; test. Repeated trials of the issues and events of actions. Bp. Wilkins. (c) Examination by a test; experiment, as in chemistry, metallurgy, etc. 2. The state of being tried or tempted; exposure to suffering that tests strength, patience, faith, or the like; affliction or temptation that exercises and proves the graces or virtues of men. Others had trial of cruel mockings and scourgings. Heb. xi. 36. 3. That which tries or afflicts; that which harasses; that which tries the character or principles; that which tempts to evil; as, his child's conduct was a sore trial. Every station is exposed to some trials. Rogers. 4. (Law)  The formal examination of the matter in issue in a cause before a competent tribunal; the mode of determining a question of fact in a court of law; the examination, in legal form, of the facts in issue in a cause pending before a competent tribunal, for the purpose of determining such issue. Syn. -- Test; attempt; endeavor; effort; experiment; proof; essay. See Test, and Attempt.
trial balance |The testing of a ledger to discover whether the debits and credits balance, by finding whether the sum of the personal credits increased by the difference between the debit and credit sums in the merchandise and other impersonal accounts equals the sum of personal debits. The equality would not show that the items were all correctly posted.
triality |Three united; state of being three. [R.] H. Wharton.
trialogue |A discourse or colloquy by three persons.
triamide |An amide containing three amido groups.
triamine |An amine containing three amido groups.
triander |Any one of the Triandria.
triandria |A Linnæan class of plants having three distinct and equal stamens.
triandrian |Of or pertaining to the Triandria; having three distinct and equal stamens in the same flower.
triandrous |Of or pertaining to the Triandria; having three distinct and equal stamens in the same flower.
triangle |1. (Geom.)  A figure bounded by three lines, and containing three angles. Note: A triangle is either plane, spherical, or curvilinear, according as its sides are straight lines, or arcs of great circles of a sphere, or any curved lines whatever. A plane triangle is designated as scalene, isosceles, or equilateral, according as it has no two sides equal, two sides equal, or all sides equal; and also as right-angled, or oblique-angled, according as it has one right angle, or none; and oblique-angled triangle is either acute-angled, or obtuse-angled, according as all the angles are acute, or one of them obtuse. The terms scalene, isosceles, equilateral, right-angled, acute-angled, and obtuse-angled, are applied to spherical triangles in the same sense as to plane triangles. 2. (Mus.)  An instrument of percussion, usually made of a rod of steel, bent into the form of a triangle, open at one angle, and sounded by being struck with a small metallic rod. 3. A draughtsman's square in the form of a right-angled triangle. 4. (Mus.)  A kind of frame formed of three poles stuck in the ground and united at the top, to which soldiers were bound when undergoing corporal punishment, -- now disused. 5. (Astron.) (a) A small constellation situated between Aries and Andromeda. (b) A small constellation near the South Pole, containing three bright stars. Triangle spider (Zoöl.), a small American spider (Hyptiotes Americanus) of the family Ciniflonidæ, living among the dead branches of evergreen trees. It constructs a triangular web, or net, usually composed of four radii crossed by a double elastic fiber. The spider holds the thread at the apex of the web and stretches it tight, but lets go and springs the net when an insect comes in contact with it.
triangled |Having three angles; triangular.
triangular |1. Having three angles; having the form of a triangle. 2. (Bot.)  Oblong or elongated, and having three lateral angles; as, a triangular seed, leaf, or stem. Triangular compasses, compasses with three legs for taking off the angular points of a triangle, or any three points at the same time. -- Triangular crab (Zoöl.), any maioid crab; -- so called because the carapace is usually triangular. -- Triangular numbers (Math.), the series of numbers formed by the successive sums of the terms of an arithmetical progression, of which the first term and the common difference are 1. See Figurate numbers, under Figurate.
triangulares |The triangular, or maioid, crabs. See Illust. under Maioid, and Illust. of Spider crab, under Spider.
triangularity |The quality or state of being triangular. Bolingbroke.
triangularly |In a triangular manner; in the form of a triangle. Dampier.
triangulate |1. To divide into triangles; specifically, to survey by means of a series of triangles properly laid down and measured. 2. To make triangular, or three-cornered.
triangulation |The series or network of triangles into which the face of a country, or any portion of it, is divided in a trigonometrical survey; the operation of measuring the elements necessary to determine the triangles into which the country to be surveyed is supposed to be divided, and thus to fix the positions and distances of the several points connected by them.
triarchy |Government by three persons; a triumvirate; also, a country under three rulers. Holland.
triarian |Occupying the third post or rank. [Obs.] Cowley.
triarticulate |Having three joints.
trias |The formation situated between the Permian and Lias, and so named by the Germans, because consisting of three series of strata, which are called in German the Bunter sandstein, Muschelkalk, and Keuper.
triassic |Of the age of, or pertaining to, the Trias. -- n.  The Triassic formation.
triatic |A term used in the phrase triatic stay. See under Stay.
triatomic |(a) Having three atoms; -- said of certain elements or radicals. (b) Having a valence of three; trivalent; sometimes, in a specific sense, having three hydroxyl groups, whether acid or basic; thus, glycerin, glyceric acid, and tartronic acid are each triatomic.
tribal |Of or pertaining to a tribe or tribes; as, a tribal scepter. Bp. Warburton.
tribalism |The state of existing in tribes; also, tribal feeling; tribal prejudice or exclusiveness; tribal peculiarities or characteristics.
tribasic |Capable of neutralizing three molecules of a monacid base, or their equivalent; having three hydrogen atoms capable of replacement by basic elements on radicals; -- said of certain acids; thus, citric acid is a tribasic acid.
tribble |A frame on which paper is dried. Knight.
