divestment |The act of divesting. [R.]
doctrine |1. Teaching; instruction. He taught them many things by parables, and said unto them in his doctrine, Hearken. Mark iv. 2. 2. That which is taught; what is held, put forth as true, and supported by a teacher, a school, or a sect; a principle or position, or the body of principles, in any branch of knowledge; any tenet or dogma; a principle of faith; as, the doctrine of atoms; the doctrine of chances. \"The doctrine of gravitation.\" I. Watts. Articles of faith and doctrine. Hooker. The Monroe doctrine (Politics), a policy enunciated by President Monroe (Message, Dec. 2, 1823), the essential feature of which is that the United States will regard as an unfriendly act any attempt on the part of European powers to extend their systems on this continent, or any interference to oppress, or in any manner control the destiny of, governments whose independence had been acknowledged by the United States. Syn. -- Precept; tenet; principle; maxim; dogma. -- Doctrine, Precept. Doctrine denotes whatever is recommended as a speculative truth to the belief of others. Precept is a rule down to be obeyed. Doctrine supposes a teacher; precept supposes a superior, with a right to command. The doctrines of the Bible; the precepts of our holy religion. Unpracticed he to fawn or seek for power By doctrines fashioned to the varying hour. Goldsmith.
document |1. That which is taught or authoritatively set forth; precept; instruction; dogma. [Obs.] Learners should not be too much crowded with a heap or multitude of documents or ideas at one time. I. Watts. 2. An example for instruction or warning. [Obs.] They were forth with stoned to death, as a document to others. Sir W. Raleigh. 3. An original or official paper relied upon as the basis, proof, or support of anything else; -- in its most extended sense, including any writing, book, or other instrument conveying information in the case; any material substance on which the thoughts of men are represented by any species of conventional mark or symbol. Saint Luke . . . collected them from such documents and testimonies as he . . . judged to be authentic. Paley.\n\n1. To teach; to school. [Obs.] I am finely documented by my own daughter. Dryden. 2. To furnish with documents or papers necessary to establish facts or give information; as, a a ship should be documented according to the directions of law.
documental |1. Of or pertaining to instruction. [Obs.] Dr. H. More. 2. Of or pertaining to written evidence; documentary; as, documental testimony.
documentary |Pertaining to written evidence; contained or certified in writing. \"Documentary evidence.\" Macaulay.
dod |To cut off, as wool from sheep's tails; to lop or clip off. Halliwell.
dodd |To cut off, as wool from sheep's tails; to lop or clip off. Halliwell.
doddart |A game much like hockey, played in an open field; also, the, bent stick for playing the game. [Local, Eng.] Halliwell.
dodded |Without horns; as, dodded cattle; without beards; as, dodded corn. Halliwell.
dodder |A plant of the genus Cuscuta. It is a leafless parasitical vine with yellowish threadlike stems. It attaches itself to some other plant, as to flax, goldenrod, etc., and decaying at the root. is nourished by the plant that supports it.\n\nTo shake, tremble, or totter. \"The doddering mast.\" Thomson.
doddered |Shattered; infirm. \"A laurel grew, doddered with age.\" Dryden.
dodecagon |A figure or polygon bounded by twelve sides and containing twelve angles.
dodecagynia |A Linnæan order of plants having twelve styles.
dodecagynian |Of or pertaining to the Dodecagynia; having twelve styles.
dodecagynous |Of or pertaining to the Dodecagynia; having twelve styles.
dodecahedral |Pertaining to, or like, a dodecahedion; consisting of twelve equal sides. Dodecahedral cleavage. See under Cleavage.
dodecahedron |A solid having twelve faces. Note: The regular dodecahedron is bounded by twelve equal and regular pentagons; the pyritohedron (see Pyritohedron) is related to it; the rhombic dodecahedron is bounded by twelve equal rhombic faces.
dodecandria |A Linnæan class of plants including all that have any number of stamens between twelve and nineteen.
dodecandrian |Of or pertaining to the Dodecandria; having twelve stamens, or from twelve to nineteen.
dodecandrous |Of or pertaining to the Dodecandria; having twelve stamens, or from twelve to nineteen.
dodecane |Any one of a group of thick oily hydrocarbons, C12H26, of the paraffin series.
dodecastyle |Having twelve columns in front. -- n.  A dodecastyle portico, or building.
dodecasyllabic |Having twelve syllables.
dodecasyllable |A word consisting of twelve syllables.
dodecatemory |A tern applied to the twelve houses, or parts, of the zodiac of the primum mobile, to distinguish them from the twelve signs; also, any one of the twelve signs of the zodiac.
dodge |1. To start suddenly aside, as to avoid a blow or a missile; to shift place by a sudden start. Milton. 2. To evade a duty by low craft; to practice mean shifts; to use tricky devices; to play fast and loose; to quibble. Some dodging casuist with more craft than sincerity. Milton.\n\n1. To evade by a sudden shift of place; to escape by starting aside; as, to dodge a blow aimed or a ball thrown. 2. Fig.: To evade by craft; as, to dodge a question; to dodge responsibility. [Colloq.] S. G. Goodrich. 3. To follow by dodging, or suddenly shifting from place to place. Coleridge.\n\nThe act of evading by some skillful movement; a sudden starting aside; hence, an artful device to evade, deceive, or cheat; a cunning trick; an artifice. [Colloq.] Some, who have a taste for good living, have many harmless arts, by which they improve their banquet, and innocent dodges, if we may be permitted to use an excellent phrase that has become vernacular since the appearance of the last dictionaries. Thackeray.
dodger |1. One who dodges or evades; one who plays fast and loose, or uses tricky devices. Smart. 2. A small handbill. [U. S.] 3. See Corndodger.
dodgery |trickery; artifice. [Obs.] Hacket.
dodipate |A stupid person; a fool; a blockhead. Some will say, our curate is naught, an ass-head, a dodipoll. Latimer.
dodipoll |A stupid person; a fool; a blockhead. Some will say, our curate is naught, an ass-head, a dodipoll. Latimer.
dodkin |A doit; a small coin. Shelton.
dodman |1. A snail; also, a snail shell; a hodmandod. [Obs. or Prov. Eng.] Nares. 2. (Zoöl.)  Any shellfish which casts its shell, as a lobster. [Prov. Eng.]
dodo |A large, extinct bird (Didus ineptus), formerly inhabiting the Island of Mauritius. It had short, half-fledged wings, like those of the ostrich, and a short neck and legs; -- called also dronte. It was related to the pigeons.
doe |A female deer or antelope; specifically, the female of the fallow deer, of which the male is called a buck. Also applied to the female of other animals, as the rabbit. See the Note under Buck.\n\nA feat. [Obs.] See Do, n. Hudibras.
doeglic |Pertaining to, or obtained from, the doegling; as, doeglic acid (Chem.), an oily substance resembling oleic acid.
doegling |The beaked whale (Balænoptera rostrata), from which doegling oil is obtained. DOE, JOHN Doe, John. (Law)  The fictitious lessee acting as plaintiff in the common-law action of ejectment, the fictitious defendant being usually denominated Richard Roe. Hence, a fictitious name for a party, real or fictitious, to any action or proceeding.
doer |1. One who does; one performs or executes; one who is wont and ready to act; an actor; an agent. The doers of the law shall be justified. Rom. ii. 13. 2. (Scots Law)  An agent or attorney; a factor. Burrill.
does |The 3d pers. sing. pres. of Do.
doeskin |1. The skin of the doe. 2. A firm woolen cloth with a smooth, soft surface like a doe's skin; -- made for men's wear.
doff |1. To put off, as dress; to divest one's self of; hence, figuratively, to put or thrust away; to rid one's self of. And made us doff our easy robes of peace. Shak. At night, or in the rain, He dons a surcoat which he doffs at morn. Emerson. 2. To strip; to divest; to undress. Heaven's King, who doffs himself our flesh to wear. Crashaw.\n\nTo put off dress; to take off the hat.
doffer |A revolving cylinder, or a vibrating bar with teeth, in a carding machine, which doffs, or strips off, the cotton from the cards. Ure.
dog |1. (Zoöl.)  A quadruped of the genus Canis, esp. the domestic dog (C. familiaris). Note: The dog is distinguished above all others of the inferior animals for intelligence, docility, and attachment to man. There are numerous carefully bred varieties, as the beagle, bloodhound, bulldog, coachdog, collie, Danish dog, foxhound, greyhound, mastiff, pointer, poodle, St. Bernard, setter, spaniel, spitz dog, terrier, etc. There are also many mixed breeds, and partially domesticated varieties, as well as wild dogs, like the dingo and dhole. (See these names in the Vocabulary.) 2. A mean, worthless fellow; a wretch. What is thy servant, which is but a dog, that he should do this great thing 2 Kings viii. 13 (Rev. Ver. ) 3. A fellow; -- used humorously or contemptuously; as, a sly dog; a lazy dog. [Colloq.] 4. (Astron.)  One of the two constellations, Canis Major and Canis Minor, or the Greater Dog and the Lesser Dog. Canis Major contains the Dog Star (Sirius). 5. An iron for holding wood in a fireplace; a firedog; an andiron. 6. (Mech.) (a) A grappling iron, with a claw or claws, for fastening into wood or other heavy articles, for the purpose of raising or moving them. (b) An iron with fangs fastening a log in a saw pit, or on the carriage of a sawmill. (c) A piece in machinery acting as a catch or clutch; especially, the carrier of a lathe, also, an adjustable stop to change motion, as in a machine tool. Note: Dog is used adjectively or in composition, commonly in the sense of relating to, or characteristic of, a dog. It is also used to denote a male; as, dog fox or g-fox, a male fox; dog otter or dog- otter, dog wolf, etc.; -- also to denote a thing of cheap or mean quality; as, dog Latin. A dead dog, a thing of no use or value. 1 Sam. xxiv. 14. -- A dog in the manger, an ugly-natured person who prevents others from enjoying what would be an advantage to them but is none to him. -- Dog ape (Zoöl.), a male ape. -- Dog cabbage, or Dog's cabbage (Bot.), a succulent herb, native to the Mediterranean region (Thelygonum Cynocrambe). -- Dog cheap, very cheap. See under Cheap. -- Dog ear (Arch.), an acroterium. [Colloq.] -- Dog flea (Zoöl.), a species of flea (Pulex canis) which infests dogs and cats, and is often troublesome to man. In America it is the common flea. See Flea, and Aphaniptera. -- Dog grass (Bot.), a grass (Triticum caninum) of the same genus as wheat. -- Dog Latin, barbarous Latin; as, the dog Latin of pharmacy. -- Dog lichen (Bot.), a kind of lichen (Peltigera canina) growing on earth, rocks, and tree trunks, -- a lobed expansion, dingy green above and whitish with fuscous veins beneath. -- Dog louse (Zoöl.), a louse that infests the dog, esp. Hæmatopinus piliferus; another species is Trichodectes latus. -- Dog power, a machine operated by the weight of a dog traveling in a drum, or on an endless track, as for churning. -- Dog salmon (Zoöl.), a salmon of northwest America and northern Asia; -- the gorbuscha; -- called also holia, and hone. -- Dog shark. (Zoöl.) See Dogfish. -- Dog's meat, meat fit only for dogs; refuse; offal. -- Dog Star. See in the Vocabulary. -- Dog wheat (Bot.), Dog grass. -- Dog whelk (Zoöl.), any species of univalve shells of the family Nassidæ, esp. the Nassa reticulata of England. -- To give, or throw, to the dogs, to throw away as useless. \"Throw physic to the dogs; I'll none of it.\" Shak. -- To go to the dogs, to go to ruin; to be ruined.\n\nTo hunt or track like a hound; to follow insidiously or indefatigably; to chase with a dog or dogs; to worry, as if by dogs; to hound with importunity. I have been pursued, dogged, and waylaid. Pope. Your sins will dog you, pursue you. Burroughs. Eager ill-bred petitioners, who do not so properly supplicate as hunt the person whom they address to, dogging him from place to place, till they even extort an answer to their rude requests. South.
dog bee |A male or drone bee. Halliwell.
dog day |One of the dog days. Dogday cicada (Zoöl.), a large American cicada (C. pruinosa), which trills loudly in midsummer.
dog days |A period of from four to six weeks, in the summer, variously placed by almanac makers between the early part of July and the early part of September; canicular days; -- so called in reference to the rising in ancient times of the Dog Star (Sirius) with the sun. Popularly, the sultry, close part of the summer. Note: The conjunction of the rising of the Dog Star with the rising of the sun was regarded by the ancients as one of the causes of the sultry heat of summer, and of the maladies which then prevailed. But as the conjunction does not occur at the same time in all latitudes, and is not constant in the same region for a long period, there has been much variation in calendars regarding the limits of the dog days. The astronomer Roger Long states that in an ancient calendar in Bede (died 735) the beginning of dog days is placed on the 14th of July; that in a calendar prefixed to the Common Prayer, printed in the time of Queen Elizabeth, they were said to begin on the 6th of July and end on the 5th of September; that, from the Restoration (1660) to the beginning of New Style (1752), British almanacs placed the beginning on the 19th of July and the end on the 28th of August; and that after 1752 the beginning was put on the 30th of July, the end on the 7th of September. Some English calendars now put the beginning on July 3d, and the ending on August 11th. A popular American almanac of the present time (1890) places the beginning on the 25th of July, and the end on the 5th of September.
dog fancier |One who has an unusual fancy for, or interest in, dogs; also, one who deals in dogs.
dog star |Sirius, a star of the constellation Canis Major, or the Greater Dog, and the brightest star in the heavens; -- called also Canicula, and, in astronomical charts, a Canis Majoris. See Dog days. DOG'S-TONGUE Dog's\"-tongue`, n. (Bot.)  Hound's-tongue.
dog-brier |The dog-rose.
dog-eared |Having the corners of the leaves turned down and soiled by careless or long-continued usage; -- said of a book. Statute books before unopened, not dog-eared. Ld. Mansfield.
dog-faced |Having a face resembling that of a dog. Dog-faced baboon (Zoöl.), any baboon of the genus Cynocephalus. See Drill.
dog-fox |(a) A male fox. See the Note under Dog, n., 6. Sir W. Scott. (b) The Arctic or blue fox; -- a name also applied to species of the genus Cynalopex.
dog-headed |Having a head shaped like that of a dog; -- said of certain baboons.
dog-hearted |Inhuman; cruel. Shak.
dog-legged |Noting a flight of stairs, consisting of two or more straight portions connected by a platform (landing) or platforms, and running in opposite directions without an intervening wellhole.
dog-rose |A common European wild rose, with single pink or white flowers. DOG'S-BANE Dog's\"-bane`, n. (Bot.)  See Dogbane. DOG'S-EAR Dog's\"-ear`, n.  The corner of a leaf, in a book, turned down like the ear of a dog. Gray. -- Dog's\"-eared`, a. Cowper.
dog-weary |Extremely weary. Shak.
dogal |Of or pertaining to a doge.[R.]
dogate |The office or dignity of a doge.
dogbane |A small genus of perennial herbaceous plants, with poisonous milky juice, bearing slender pods pods in pairs.
dogberry |The berry of the dogwood; -- called also dogcherry. Dr. Prior. Dogberry tree (Bot.), the dogwood.
dogbolt |The bolt of the cap-square over the trunnion of a cannon. Knight.
dogcart |A light one-horse carriage, commonly two-wheeled, patterned after a cart. The original dogcarts used in England by sportsmen had a box at the back for carrying dogs.
dogday |One of the dog days. Dogday cicada (Zoöl.), a large American cicada (C. pruinosa), which trills loudly in midsummer.
dogdraw |The act of drawing after, or pursuing, deer with a dog. Cowell.
doge |The chief magistrate in the republics of Venice and Genoa.
dogeate |Dogate. Wright.
dogeless |Without a doge. Byron.
dogfish |1. A small shark, of many species, of the genera Mustelus, Scyllium, Spinax, etc. Note: The European spotted dogfishes (Scyllium catudus, and S. canicula) are very abundant; the American smooth, or blue dogfish is Mustelus canis; the common picked, or horned dogfish (Squalus acanthias) abundant on both sides of the Atlantic. 2. The bowfin (Amia calva). See Bowfin. 3. The burbot of Lake Erie.
dogged |1. Sullen; morose. [Obs. or R.] The sulky spite of a temper naturally dogged. Sir W. Scott. 2. Sullenly obstinate; obstinately determined or persistent; as, dogged resolution; dogged work.
doggedly |In a dogged manner; sullenly; with obstinate resolution.
doggedness |1. Sullenness; moroseness. [R.] 2. Sullen or obstinate determination; grim resolution or persistence.
dogger |A two-masted fishing vessel, used by the Dutch.\n\nA sort of stone, found in the mines with the true alum rock, chiefly of silica and iron.
doggerel |Low in style, and irregular in measure; as, doggerel rhymes. This may well be rhyme doggerel, quod he. Chaucer.\n\nA sort of loose or irregular verse; mean or undignified poetry. Doggerel like that of Hudibras. Addison. The ill-spelt lines of doggerel in which he expressed his reverence for the brave sufferers. Macaulay.
doggerman |A sailor belonging to a dogger.
dogget |Docket. See Docket. [Obs.]
doggish |Like a dog; having the bad qualities of a dog; churlish; growling; brutal. -- Dog\"*gish*ly, adv. -- Dog\"gish*ness, n.
doggrel |Same as Doggerel.
doghole |A place fit only for dogs; a vile, mean habitation or apartment. Dryden.
dogma |1. That which is held as an opinion; a tenet; a doctrine. The obscure and loose dogmas of early antiquity. Whewell. 2. A formally stated and authoritatively settled doctrine; a definite, established, and authoritative tenet. 3. A doctrinal notion asserted without regard to evidence or truth; an arbitrary dictum. Syn. -- tenet; opinion; proposition; doctrine. -- Dogma, Tenet. A tenet is that which is maintained as true with great firmness; as, the tenets of our holy religion. A dogma is that which is laid down with authority as indubitably true, especially a religious doctrine; as, the dogmas of the church. A tenet rests on its own intrinsic merits or demerits; a dogma rests on authority regarded as competent to decide and determine. Dogma has in our language acquired, to some extent, a repulsive sense, from its carrying with it the idea of undue authority or assumption. this is more fully the case with its derivatives dogmatical and dogmatism.
dogmatic |One of an ancient sect of physicians who went by general principles; -- opposed to the Empiric.\n\n1. Pertaining to a dogma, or to an established and authorized doctrine or tenet. 2. Asserting a thing positively and authoritatively; positive; magisterial; hence, arrogantly authoritative; overbearing. Critics write in a positive, dogmatic way. Spectator. [They] are as assertive and dogmatical as if they were omniscient. Glanvill. Dogmatic theology. Same as Dogmatics. Syn. -- Magisterial; arrogant. See Magisterial.
dogmatical |1. Pertaining to a dogma, or to an established and authorized doctrine or tenet. 2. Asserting a thing positively and authoritatively; positive; magisterial; hence, arrogantly authoritative; overbearing. Critics write in a positive, dogmatic way. Spectator. [They] are as assertive and dogmatical as if they were omniscient. Glanvill. Dogmatic theology. Same as Dogmatics. Syn. -- Magisterial; arrogant. See Magisterial.
dogmatically |In a dogmatic manner; positively; magisterially.
dogmaticalness |The quality of being dogmatical; positiveness.
dogmatician |A dogmatist.
dogmatics |The science which treats of Christian doctrinal theology.
dogmatism |The manner or character of a dogmatist; arrogance or positiveness in stating opinion. The self-importance of his demeanor, and the dogmatism of his conversation. Sir W. Scott.
dogmatist |One who dogmatizes; one who speaks dogmatically; a bold and arrogant advancer of principles. I expect but little success of all this upon the dogmatist; his opinioned assurance is paramount to argument. Glanvill.
dogmatize |To assert positively; to teach magisterially or with bold and undue confidence; to advance with arrogance. The pride of dogmatizing schools. Blackmore.\n\nTo deliver as a dogma. [R.]
dogmatizer |One who dogmatizes; a bold asserter; a magisterial teacher. Hammond.
dogship |The character, or individuality, of a dog.
dogshore |One of several shores used to hold a ship firmly and prevent her moving while the blocks are knocked away before launching.
dogsick |Sick as a dog sometimes is very sick. [Colloq.]
dogskin |The skin of a dog, or leather made of the skin. Also used adjectively.
dogsleep |1. Pretended sleep. Addison. 2. (Naut.)  The fitful naps taken when all hands are kept up by stress. DOG'S-TAIL GRASS Dog's\"-tail grass`, n. (Bot.)  A hardy species of British grass (Cynosurus cristatus) which abounds in grass lands, and is well suited for making straw plait; -- called also goldseed.
dogtie |A cramp.
dogtooth |1. See Canine tooth, under Canine. 2. (Arch.)  An ornament common in Gothic architecture, consisting of pointed projections resembling teeth; -- also called tooth ornament. Dogtooth spar (Min.), a variety of calcite, in acute crystals, resembling the tooth of a dog. See Calcite. -- Dogtooth violet (Bot.), a small, bulbous herb of the Lily family (genus Erythronium). It has two shining flat leaves and commonly one large flower. [Written also dog's-tooth violet.]
dogtrick |A gentle trot, like that of a dog.
dogvane |A small vane of bunting, feathers, or any other light material, carried at the masthead to indicate the direction of the wind. Totten.
dogwatch |A half watch; a watch of two hours, of which there are two, the first dogwatch from 4 to 6 o'clock, p.m., and the second dogwatch from 6 to 8 o'clock, P. M. Totten.
dogwood |The Cornus, a genus of large shrubs or small trees, the wood of which is exceedingly hard, and serviceable for many purposes. Note: There are several species, one of which, Cornus mascula, called also cornelian cherry, bears a red acid berry. C. florida is the flowering dogwood, a small American tree with very showy blossoms. Dogwood tree. (a) The dogwood or Cornus. (b) A papilionaceous tree (Piscidia erythring) growing in Jamaica. It has narcotic properties; -- called also Jamaica dogwood.
dohtren |Daughters. [Obs.]
doily |1. A kind of woolen stuff. [Obs.] \"Some doily petticoats.\" Dryden. A fool and a doily stuff, would now and then find days of grace, and be worn for variety. Congreve. 2. A small napkin, used at table with the fruit, etc.; -- commonly colored and fringed.
doing |Anything done; a deed; an action good or bad; hence, in the plural, conduct; behavior. See Do. To render an account of his doings. Barrow.
doit |1. A small Dutch coin, worth about half a farthing; also, a similar small coin once used in Scotland; hence, any small piece of money. Shak. 2. A thing of small value; as, I care not a doit.
doitkin |A very small coin; a doit.
dokimastic |Docimastic.
doko |See Lepidosiren.
dolabra |A rude ancient ax or hatchet, seen in museums.
dolabriform |Shaped like the head of an ax or hatchet, as some leaves, and also certain organs of some shellfish.
dolce |Softly; sweetly; with soft, smooth, and delicate execution.
dolcemente |Softly; sweetly; with soft, smooth, and delicate execution.
dolcino |A small bassoon, formerly much used. Simmonds.
doldrums |A part of the ocean near the equator, abounding in calms, squalls, and light, baffling winds, which sometimes prevent all progress for weeks; -- so called by sailors. To be in the doldrums, to be in a state of listlessness ennui, or tedium.
dole |grief; sorrow; lamentation. [Archaic] And she died. So that day there was dole in Astolat. Tennyson.\n\nSee Dolus.\n\n1. Distribution; dealing; apportionment. At her general dole, Each receives his ancient soul. Cleveland. 2. That which is dealt out; a part, share, or portion also, a scanty share or allowance. 3. Alms; charitable gratuity or portion. So sure the dole, so ready at their call, They stood prepared to see the manna fall. Dryden. Heaven has in store a precious dole. Keble. 4. A boundary; a landmark. Halliwell. 5. A void space left in tillage. [Prov. Eng.] Dole beer, beer bestowed as alms. [Obs.] -- Dole bread, bread bestowed as alms. [Obs.] -- Dole meadow, a meadow in which several persons have a common right or share.\n\nTo deal out in small portions; to distribute, as a dole; to deal out scantily or grudgingly. The supercilious condescension with which even his reputed friends doled out their praises to him. De Quincey.
doleful |Full of dole or grief; expressing or exciting sorrow; sorrowful; sad; dismal. With screwed face and doleful whine. South. Regions of sorrow, doleful shades. Milton. Syn. -- Piteous; rueful; sorrowful; woeful; melancholy; sad gloomy; dismal; dolorous; woe-begone. - Dole\"ful*ly, adv. -- Dole\"ful*ness, n.
dolent |Sorrowful. [Obs.] Ford.
dolente |Plaintively. See Doloroso.
dolerite |A dark-colored, basic, igneous rock, composed essentially of pyroxene and a triclinic feldspar with magnetic iron. By many authors it is considered equivalent to a coarse-grained basalt.
doleritic |Of the nature of dolerite; as, much lava is doleritic lava. Dana.
dolesome |Doleful; dismal; gloomy; sorrowful. -- Dole\"some*ly, adv. -- Dole\"some*ness, n.
dolf |of Delve. [Obs.] Chaucer.
dolichocephalic |Having the cranium, or skull, long to its breadth; long-headed; -- opposed to brachycephalic. -- Dol`i*cho*ceph\"al, a. & n.
dolichocephalism |The quality or condition of being dolichocephalic.
dolichocephalous |Having the cranium, or skull, long to its breadth; long-headed; -- opposed to brachycephalic. -- Dol`i*cho*ceph\"al, a. & n.
dolichocephaly |The quality or condition of being dolichocephalic.
dolioform |Barrel-shaped, or like a cask in form.
doliolum |A genus of freeswimming oceanic tunicates, allied to Salpa, and having alternate generations.
dolium |A genus of large univalve mollusks, including the partridge shell and tun shells.
doll |A child's puppet; a toy baby for a little girl.
dollar |1. (a) A silver coin of the United States containing 371.25 grains of silver and 41.25 grains of alloy, that is, having a total weight of 412.5 grains. (b) A gold coin of the United States containing 23.22 grains of gold and 2.58 grains of alloy, that is, having a total weight of 25.8 grains, nine-tenths fine. It is no longer coined. Note: Previous to 1837 the silver dollar had a larger amount of alloy, but only the same amount of silver as now, the total weight being 416 grains. The gold dollar as a distinct coin was first made in 1849. The eagles, half eagles, and quarter eagles coined before 1834 contained 24.75 grains of gold and 2.25 grains of alloy for each dollar. 2. A coin of the same general weight and value, though differing slightly in different countries, current in Mexico, Canada, parts of South America, also in Spain, and several other European countries. 3. The value of a dollar; the unit commonly employed in the United States in reckoning money values. Chop dollar. See under 9th Chop. -- Dollar fish (Zoöl.), a fish of the United States coast (Stromateus triacanthus), having a flat, roundish form and a bright silvery luster; -- called also butterfish, and Lafayette. See Butterfish. -- Trade dollar, a silver coin formerly made at the United States mint, intended for export, and not legal tender at home. It contained 378 grains of silver and 42 grains of alloy.
dollardee |A species of sunfish (Lepomis pallidus), common in the United States; -- called also blue sunfish, and copper-nosed bream.
dollman |See Dolman.
dolly |1. (Mining)  A contrivance, turning on a vertical axis by a handle or winch, and giving a circular motion to the ore to be washed; a stirrer. 2. (Mach.)  A tool with an indented head for shaping the head of a rivet. Knight. 3. In pile driving, a block interposed between the head of the pile and the ram of the driver. 4. A small truck with a single wide roller used for moving heavy beams, columns, etc., in bridge building. 5. A compact, narrow-gauge locomotive used for moving construction trains, switching, etc.\n\nA child's mane for a doll. Dolly shop, a shop where rags, old junk, etc., are bought and sold; usually, in fact, an unlicensed pawnbroker's shop, formerly distinguished by the sign of a black doll. [England]
dolly varden |1. A character in Dickens's novel \"Barnaby Rudge,\" a beautiful, lively, and coquettish girl who wore a cherry-colored mantle and cherry-colored ribbons. 2. A style of light, bright-figured dress goods for women; also, a style of dress. Dolly Varden trout (Zoöl.), a trout of northwest America; -- called also bull trout, malma, and red-spotted trout. See Malma.
dolman |1. A long robe or outer garment, with long sleeves, worn by the Turks. [Written also doliman.] 2. A cloak of a peculiar fashion worn by women.
dolmen |A cromlech. See Cromlech. [Written also tolmen.]
dolomite |A mineral consisting of the carbonate of lime and magnesia in varying proportions. It occurs in distinct crystals, and in extensive beds as a compact limestone, often crystalline granular, either white or clouded. It includes much of the common white marble. Also called bitter spar.
dolomitic |Pertaining to dolomite.
dolomize |To convert into dolomite. -- Dol`o*mi*za\"tion, n.
dolor |Pain; grief; distress; anguish. [Written also dolour.] [Poetic] Of death and dolor telling sad tidings. Spenser.
doloriferous |Producing pain. Whitaker.
dolorific |Causing pain or grief. Arbuthnot.
dolorifical |Causing pain or grief. Arbuthnot.
doloroso |Plaintive; pathetic; -- used adverbially as a musical direction.
dolorous |1. Full of grief; sad; sorrowful; doleful; dismal; as, a dolorous object; dolorous discourses. You take me in too dolorous a sense; I spake to you for your comfort. Shak. 2. Occasioning pain or grief; painful. Their dispatch is quick, and less dolorous than the paw of the bear or teeth of the lion. Dr. H. More. -- Dol\"or*ous*ly, adv. -- Dol\"or*ous*ness, n.
dolphin |1. (Zool.) (a) A cetacean of the genus Delphinus and allied genera (esp. D. delphis); the true dolphin. (b) The Coryphæna hippuris, a fish of about five feet in length, celebrated for its surprising changes of color when dying. It is the fish commonly known as the dolphin. See Coryphænoid. Note: The dolphin of the ancients (D. delphis) is common in the Mediterranean and Atlantic, and attains a length of from six to eight feet. 2. Etym: [Gr. (Gr. Antiq.)  A mass of iron or lead hung from the yardarm, in readiness to be dropped on the deck of an enemy's vessel. 3. (Naut.) (a) A kind of wreath or strap of plaited cordage. (b) A spar or buoy held by an anchor and furnished with a ring to which ships may fasten their cables. R. H. Dana. (c) A mooring post on a wharf or beach. (d) A permanent fender around a heavy boat just below the gunwale. Ham. Nav. Encyc. 4. (Gun.)  In old ordnance, one of the handles above the trunnions by which the gun was lifted. 5. (Astron.)  A small constellation between Aquila and Pegasus. See Delphinus, n., 2. Dolphin fly (Zoöl.), the black, bean, or collier, Aphis (Aphis fable), destructive to beans. -- Dolphin striker (Naut.), a short vertical spar under the bowsprit.
dolphinet |A female dolphin. [R.] Spenser.
dolt |A heavy, stupid fellow; a blockhead; a numskull; an ignoramus; a dunce; a dullard. This Puck seems but a dreaming dolt. Drayton.\n\nTo behave foolishly. [Obs.]
doltish |Doltlike; dull in intellect; stupid; blockish; as, a doltish clown. -- Dolt\"ish*ly, adv. -- Dolt\"ish*ness, n.
dolus |Evil intent, embracing both malice and fraud. See Culpa. Wharton.
dolven |of Delve. [Obs.] Rom. of R.
dom |1. A title anciently given to the pope, and later to other church dignitaries and some monastic orders. See Don, and Dan. 2. In Portugal and Brazil, the title given to a member of the higher classes.
domable |Capable of being tamed; tamable.
domableness |Tamableness.
domage |1. Damage; hurt. [Obs.] Chapman. 2. Subjugation. [Obs.] Hobbes.
domain |1. Dominion; empire; authority. 2. The territory over which dominion or authority is exerted; the possessions of a sovereign or commonwealth, or the like. Also used figuratively. The domain of authentic history. E. Everett. The domain over which the poetic spirit ranges. J. C. Shairp. 3. Landed property; estate; especially, the land about the mansion house of a lord, and in his immediate occupancy; demesne. Shenstone. 4. (Law)  Ownership of land; an estate or patrimony which one has in his own right; absolute proprietorship; paramount or sovereign ownership. Public domain, the territory belonging to a State or to the general government; public lands. [U.S.]in the public domain may be used by anyone wihout restriction. -- Right of eminent domain, that superior dominion of the sovereign power over all the property within the state, including that previously granted by itself, which authorizes it to appropriate any part thereof to a necessary public use, reasonable compensation being made.
domal |Pertaining to a house. Addison.
domanial |Of or relating to a domain or to domains.
dome |1. A building; a house; an edifice; -- used chiefly in poetry. Approach the dome, the social banquet share. Pope. 2. (Arch.)  A cupola formed on a large scale. Note: \"The Italians apply the term il duomo to the principal church of a city, and the Germans call every cathedral church Dom; and it is supposed that the word in its present English sense has crept into use from the circumstance of such buildings being frequently surmounted by a cupola.\" Am. Cyc. 3. Any erection resembling the dome or cupola of a building; as the upper part of a furnace, the vertical steam chamber on the top of a boiler, etc. 4. (Crystallog.)  A prism formed by planes parallel to a lateral axis which meet above in a horizontal edge, like the roof of a house; also, one of the planes of such a form. Note: If the plane is parallel to the longer diagonal (macrodiagonal) of the prism, it is called a macrodome; if parallel to the shorter (brachydiagonal), it is a brachydome; if parallel to the inclined diagonal in a monoclinic crystal, it is called a clinodome; if parallel to the orthodiagonal axis, an orthodome. Dana.\n\nDecision; judgment; opinion; a court decision. [Obs.] Chaucer.
domebook |A book said to have been compiled under the direction of King Alfred. It is supposed to have contained the principal maxims of the common law, the penalties for misdemeanors, and the forms of judicial proceedings. Domebook was probably a general name for book of judgments. Burrill.
domed |Furnished with a dome; shaped like a dome.
