eyliad |See Eiliad.
fail |1. To be wanting; to fall short; to be or become deficient in any measure or degree up to total absence; to cease to be furnished in the usual or expected manner, or to be altogether cut off from supply; to be lacking; as, streams fail; crops fail. As the waters fail from the sea. Job xiv. 11. Till Lionel's issue fails, his should not reign. Shak. 2. To be affected with want; to come short; to lack; to be deficient or unprovided; -- used with of. If ever they fail of beauty, this failure is not be attributed to their size. Berke. 3. To fall away; to become diminished; to decline; to decay; to sink. When earnestly they seek Such proof, conclude they then begin to fail. Milton. 4. To deteriorate in respect to vigor, activity, resources, etc.; to become weaker; as, a sick man fails. 5. To perish; to die; -- used of a person. [Obs.] Had the king in his last sickness failed. Shak. 6. To be found wanting with respect to an action or a duty to be performed, a result to be secured, etc.; to miss; not to fulfill expectation. Take heed now that ye fail not to do this. Ezra iv. 22. Either my eyesight fails, or thou look'st pale. Shak. 7. To come short of a result or object aimed at or desired ; to be baffled or frusrated. Our envious foe hath failed. Milton. 8. To err in judgment; to be mistaken. Which ofttimes may succeed, so as perhaps Shall grieve him, if I fail not. Milton. 9. To become unable to meet one's engagements; especially, to be unable to pay one's debts or discharge one's business obligation; to become bankrupt or insolvent.\n\n1. To be wanting to ; to be insufficient for; to disappoint; to desert. There shall not fail thee a man on the throne. 1 Kings ii. 4. 2. To miss of attaining; to lose. [R.] Though that seat of earthly bliss be failed. Milton.\n\n1. Miscarriage; failure; deficiency; fault; -- mostly superseded by failure or failing, except in the phrase without fail. \"His highness' fail of issue.\" Shak. 2. Death; decease. [Obs.] Shak.
failance |Fault; failure; omission. [Obs.] Bp. Fell.
failing |1. A failing short; a becoming deficient; failure; deficiency; imperfection; weakness; lapse; fault; infirmity; as, a mental failing. And ever in her mind she cas about For that unnoticed failing in herself. Tennyson. 2. The act of becoming insolvent of bankrupt. Syn. -- See Fault.
faille |A soft silk, heavier than a foulard and not glossy.
failure |1. Cessation of supply, or total defect; a failing; deficiency; as, failure of rain; failure of crops. 2. Omission; nonperformance; as, the failure to keep a promise. 3. Want of success; the state of having failed. 4. Decau, or defect from decay; deterioration; as, the failure of memory or of sight. 5. A becoming insolvent; bankruptcy; suspension of payment; as, failure in business. 6. A failing; a slight fault. [Obs.] Johnson.
fain |1. Well-pleased; glad; apt; wont; fond; inclined. Men and birds are fain of climbing high. Shak. To a busy man, temptation is fainto climb up together with his business. Jer. Taylor. 2. Satisfied; contented; also, constrained. Shak. The learned Castalio was fain to make trechers at Basle to keep himself from starving. Locke.\n\nWith joy; gladly; -- with wold. He would fain have filled his belly with the husks that the swine did eat. Luke xv. 16. Fain Would I woo her, yet I dare not. Shak.\n\nTo be glad ; to wish or desire. [Obs.] Whoso fair thing does fain to see. Spencer.
faineance |Do-nothingness; inactivity; indolence. The mask of sneering faineance was gone. C. Kingsley.
faineancy |Do-nothingness; inactivity; indolence. The mask of sneering faineance was gone. C. Kingsley.
faineant |Doing nothing; shiftless. -- n.  A do-nothing; an idle fellow; a sluggard. Sir W. Scott.
faineant deity |A deity recognized as real but conceived as not acting in human affairs, hence not worshiped.
faint |1. Lacking strength; weak; languid; inclined to swoon; as, faint with fatigue, hunger, or thirst. 2. Wanting in courage, spirit, or energy; timorous; cowardly; dejected; depressed; as, \"Faint heart ne'er won fair lady.\" Old Proverb. 3. Lacking distinctness; hardly perceptible; striking the senses feebly; not bright, or loud, or sharp, or forcible; weak; as, a faint color, or sound. 4. Performed, done, or acted, in a weak or feeble manner; not exhibiting vigor, strength, or energy; slight; as, faint efforts; faint resistance. The faint prosecution of the war. Sir J. Davies.\n\nThe act of fainting, or the state of one who has fainted; a swoon. [R.] See Fainting, n. The saint, Who propped the Virgin in her faint. Sir W. Scott.\n\n1. To become weak or wanting in vigor; to grow feeble; to lose strength and color, and the control of the bodily or mental functions; to swoon; -- sometimes with away. See Fainting, n. Hearing the honor intended her, she fainted away. Guardian. If I send them away fasting . . . they will faint by the way. Mark viii. 8. 2. To sink into dejection; to lose courage or spirit; to become depressed or despondent. If thou faint in the day of adversity, thy strength is small. Prov. xxiv. 10. 3. To decay; to disappear; to vanish. Gilded clouds, while we gaze upon them, faint before the eye. Pope.\n\nTo cause to faint or become dispirited; to depress; to weaken. [Obs.] It faints me to think what follows. Shak.
faint-hearted |Wanting in courage; depressed by fear; easily discouraged or frightened; cowardly; timorous; dejected. Fear not, neither be faint-hearted. Is. vii. 4. -- Faint\"*heart`ed*ly, adv. -- Faint\"*heart`ed*ness, n.
fainthearted |Wanting in courage; depressed by fear; easily discouraged or frightened; cowardly; timorous; dejected. Fear not, neither be faint-hearted. Is. vii. 4. -- Faint\"*heart`ed*ly, adv. -- Faint\"*heart`ed*ness, n.
fainting |Syncope, or loss of consciousness owing to a sudden arrest of the blood supply to the brain, the face becoming pallid, the respiration feeble, and the heat's beat weak. Fainting fit, a fainting or swoon; syncope. [Colloq.]
faintish |Slightly faint; somewhat faint. -- Faint\"ish*ness, n.
faintling |Timorous; feeble-minded. [Obs.] \"A fainting, silly creature.\" Arbuthnot.
faintly |In a faint, weak, or timidmanner.
faintness |1. The state of being faint; loss of strength, or of consciousness, and self-control. 2. Want of vigor or energy. Spenser. 3. Feebleness, as of color or light; lack of distinctness; as, faintness of description. 4. Faint-heartedness; timorousness; dejection. I will send a faintness into their hearts. Lev. xxvi. 36.
faints |The impure spirit which comes over first and last in the distillation of whisky; -- the former being called the strong faints, and the latter, which is much more abundant, the weak faints. This crude spirit is much impregnated with fusel oil. Ure.
fainty |Feeble; languid. [R.] Dryden.
fair |1. Free from spots, specks, dirt, or imperfection; unblemished; clean; pure. A fair white linen cloth. Book of Common Prayer. 2. Pleasing to the eye; handsome; beautiful. Who can not see many a fair French city, for one fair French made. Shak. 3. Without a dark hue; light; clear; as, a fair skin. The northern people large and fair-complexioned. Sir M. Hale. 4. Not overcast; cloudless; clear; pleasant; propitious; favorable; - - said of the sky, weather, or wind, etc.; as, a fair sky; a fair day. You wish fair winds may waft him over. Prior. 5. Free from obstacles or hindrances; unobstructed; unincumbered; open; direct; -- said of a road, passage, etc.; as, a fair mark; in fair sight; a fair view. The caliphs obtained a mighty empire, which was in a fair way to have enlarged. Sir W. Raleigh. 6. (Shipbuilding)  Without sudden change of direction or curvature; smooth; fowing; -- said of the figure of a vessel, and of surfaces, water lines, and other lines. 7. Characterized by frankness, honesty, impartiality, or candor; open; upright; free from suspicion or bias; equitable; just; -- said of persons, character, or conduct; as, a fair man; fair dealing; a fair statement. \"I would call it fair play.\" Shak. 8. Pleasing; favorable; inspiring hope and confidence; -- said of words, promises, etc. When fair words and good counsel will not prevail on us, we must be frighted into our duty. L' Estrange. 9. Distinct; legible; as, fair handwriting. 10. Free from any marked characteristic; average; middling; as, a fair specimen. The news is very fair and good, my lord. Shak. Fair ball. (Baseball) (a) A ball passing over the home base at the height called for by the batsman, and delivered by the pitcher while wholly within the lines of his position and facing the batsman. (b) A batted ball that falls inside the foul lines; -- called also a fair hit. -- Fair maid. (Zoöl.) (a) The European pilchard (Clupea pilchardus) when dried. (b) The southern scup (Stenotomus Gardeni). [Virginia] -- Fair one, a handsome woman; a beauty, -- Fair play, equitable or impartial treatment; a fair or equal chance; justice. -- From fair to middling, passable; tolerable. [Colloq.] -- The fair sex, the female sex. Syn. -- Candid; open; frank; ingenuous; clear; honest; equitable; impartial; reasonable. See Candid.\n\nClearly; openly; frankly; civilly; honestly; favorably; auspiciously; agreeably. Fair and square, justly; honestly; equitably; impartially. [Colloq.] -- To bid fair. See under Bid. -- To speak fair, to address with courtesy and frankness. [Archaic]\n\n1. Fairness, beauty. [Obs.] Shak. 2. A fair woman; a sweetheart. I have found out a gift for my fair. Shenstone. 3. Good fortune; good luck. Now fair befall thee ! Shak. The fair, anything beautiful; women, collectively. \"For slander's mark was ever yet the fair.\" Shak.\n\n1. To make fair or beautiful. [Obs.] Fairing the foul. Shak. 2. (Shipbuilding)  To make smooth and flowing, as a vessel's lines.\n\n1. A gathering of buyers and sellers, assembled at a particular place with their merchandise at a stated or regular season, or by special appointment, for trade. 2. A festival, and sale of fancy articles. erc., usually for some charitable object; as, a Grand Army fair. 3. A competitive exhibition of wares, farm products, etc., not primarily for purposes of sale; as, the Mechanics' fair; an agricultural fair. After the fair, Too late. [Colloq.]
fair catch |A catch made by a player on side who makes a prescribed signal that he will not attempt to advance the ball when caught. He must not then be interfered with.
fair-haired |Having fair or light-colored hair.
fair-leader |A block, or ring, serving as a guide for the running rigging or for any rope.
fair-minded |Unprejudiced; just; judicial; honest. -- Fair\"*mind`ed*ness, n.
fair-natured |Well-disposed. \"A fair-natured prince.\" Ford.
fair-spoken |Using fair speech, or uttered with fairness; bland; civil; courteous; plausible. \"A marvelous fair-spoken man.\" Hooker.
fair-weather |1. Made or done in pleasant weather, or in circumstances involving but little exposure or sacrifice; as, a fair-weather voyage. Pope. 2. Appearing only when times or circumstances are prosperous; as, a fair-weather friend. Fair-weather sailor, a make-believe or inexperienced sailor; -- the nautical equivalent of carpet knight.
fair-world |State of prosperity. [Obs.] They think it was never fair-world with them since. Milton.
fairhood |Fairness; beauty. [Obs.] Foxe.
fairily |In the manner of a fairy. Numerous as shadows haunting fairily The brain. Keats.
fairing |A present; originally, one given or purchased at a fair. Gay. Fairing box, a box receiving savings or small sums of money. Hannah More.
fairish |Tolerably fair. [Colloq.] W. D. Howells.
fairly |1. In a fairmanner; clearly; openly; plainly; fully; distinctly; frankly. Even the nature of Mr. Dimmesdale's disease had never fairly been revealed to him. Hawthorne. 2. Favorably; auspiciously; commodiously; as, a town fairly situated for foreign traade. 3. Honestly; properly. Such means of comfort or even luxury, as lay fairly within their grasp. Hawthorne. 4. Softly; quietly; gently. [Obs.] Milton.
fairness |The state of being fair, or free form spots or stains, as of the skin; honesty, as of dealing; candor, as of an argument, etc.
fairway |The navigable part of a river, bay, etc., through which vessels enter or depart; the part of a harbor or channel ehich is kept open and unobstructed for the passage of vessels. Totten. the rough.
fairy |1. Enchantment; illusion. [Obs.] Chaucer. The God of her has made an end, And fro this worlde's fairy Hath taken her into company. Gower. 2. The country of the fays; land of illusions. [Obs.] He [Arthur] is a king y-crowned in Fairy. Lydgate. 3. An imaginary supernatural being or spirit, supposed to assume a human form (usually diminutive), either male or female, and to meddle for good or evil in the affairs of mankind; a fay. See Elf, and Demon. The fourth kind of spirit [is] called the Fairy. K. James. And now about the caldron sing, Like elves and fairies in a ring. Shak. 5. An enchantress. [Obs.] Shak. Fairy of the mine, an imaginary being supposed to inhabit mines, etc. German folklore tells of two species; one fierce and malevolent, the other gentle, See Kobold. No goblin or swart fairy of the mine Hath hurtful power over true virginity. Milton.\n\n1. Of or pertaining to fairies. 2. Given by fairies; as, fairy money. Dryden. Fairy bird (Zoöl.), the Euoropean little tern (Sterna minuta); -- called also sea swallow, and hooded tern. -- Fairy bluebird. (Zoöl.) See under Bluebird. -- Fairy martin (Zoöl.), a European swallow (Hirrundo ariel) that builds flask-shaped nests of mud on overhanging cliffs. -- Fairy rings or circles, the circles formed in grassy lawns by certain fungi (as Marasmius Oreades), formerly supposed to be caused by fairies in their midnight dances. -- Fairy shrimp (Zoöl.), a European fresh-water phyllopod crustacean (Chirocephalus diaphanus); -- so called from its delicate colors, transparency, and graceful motions. The name is sometimes applied to similar American species. -- Fairy stone (Paleon.), an echinite.
fairyland |The imaginary land or abode of fairies.
fairylike |Resembling a fairy, or what is made or done be fairies; as, fairylike music.
faith |1. Belief; the assent of the mind to the truth of what is declared by another, resting solely and implicitly on his authority and veracity; reliance on testimony. 2. The assent of the mind to the statement or proposition of another, on the ground of the manifest truth of what he utters; firm and earnest belief, on probable evidence of any kind, especially in regard to important moral truth. Faith, that is, fidelity, -- the fealty of the finite will and understanding to the reason. Coleridge. 3. (Theol.) (a) The belief in the historic truthfulness of the Scripture narrative, and the supernatural origin of its teachings, sometimes called historical and speculative faith. (b) The belief in the facts and truth of the Scriptures, with a practical love of them; especially, that confiding and affectionate belief in the person and work of Christ, which affects the character and life, and makes a man a true Christian, -- called a practical, evangelical, or saving faith. Without faith it is impossible to please him [God]. Heb. xi. 6. The faith of the gospel is that emotion of the mind which is called \"trust\" or \"confidence\" exercised toward the moral character of God, and particularly of the Savior. Dr. T. Dwight. Faith is an affectionate, practical confidence in the testimony of God. J. Hawes. 4. That which is believed on any subject, whether in science, politics, or religion; especially (Theol.), a system of religious belief of any kind; as, the Jewish or Mohammedan faith; and especially, the system of truth taught by Christ; as, the Christian faith; also, the creed or belief of a Christian society or church. Which to believe of her, Must be a faith that reason without miracle Could never plant in me. Shak. Now preacheth the faith which once he destroyed. Gal. i. 23. 5. Fidelity to one's promises, or allegiance to duty, or to a person honored and beloved; loyalty. Children in whom is no faith. Deut. xxvii. 20. Whose failing, while her faith to me remains, I should conceal. Milton. 6. Word or honor pledged; promise given; fidelity; as, he violated his faith. For you alone I broke me faith with injured Palamon. Dryden. 7. Credibility or truth. [R.] The faith of the foregoing narrative. Mitford. Act of faith. See Auto-da-fé. -- Breach of faith, Confession of faith, etc. See under Breach, Confession, etc. -- Faith cure, a method or practice of treating diseases by prayer and the exercise of faith in God. -- In good faith, with perfect sincerity.\n\nBy my faith; in truth; verily.
faithed |Having faith or a faith; honest; sincere. [Obs.] \"Make thy words faithed.\" Shak.
faithful |1. Full of faith, or having faith; disposed to believe, especially in the declarations and promises of God. You are not faithful, sir. B. Jonson. 2. Firm in adherence to promises, oaths, contracts, treaties, or other engagements. The faithful God, which keepeth covenant and mercy with them that love him. Deut. vii. 9. 3. True and constant in affection or allegiance to a person to whom one is bound by a vow, be ties of love, gratitude, or honor, as to a husband, a prince, a friend; firm in the observance of duty; loyal; of true fidelity; as, a faithful husband or servant. So spake the seraph Abdiel, faithful found, Among the faithless, faithful only he. Milton. 4. Worthy of confidence and belief; conformable to truth ot fact; exact; accurate; as, a faithful narrative or representation. It is a faithful saying. 2 Tim. ii. 11. The Faithful, the adherents of any system of religious belief; esp. used as an epithet of the followers of Mohammed. Syn. -- Trusty; honest; upright; sincere; veracious; trustworthy. -- Faith\"ful*ly, adv. -Faith\"ful*ness, n.
faithless |1. Not believing; not giving credit. Be not faithless, but believing. John xx. 27. 2. Not believing on God or religion; specifically, not believing in the Christian religion. Shak. 3. Not observant of promises or covenants. 4. Not true to allegiance, duty, or vows; perfidious; trecherous; disloyal; not of true fidelity; inconstant, as a husband or a wife. A most unnatural and faithless service. Shak. 5. Serving to disappoint or deceive; delusive; unsatisfying. \"Yonder faithless phantom.\" Goldsmith. -- Faith\"less*ly, adv.Faith\"less*ness, n.
faitour |A doer or actor; particularly, an evil doer; a scoundrel. [Obs.] Lo! faitour, there thy meed unto thee take. Spenser.
fake |One of the circles or windings of a cable or hawser, as it lies in a coil; a single turn or coil.\n\nTo coil (a rope, line, or hawser), by winding alternately in opposite directions, in layers usually of zigzag or figure of eight form,, to prevent twisting when running out. Faking box, a box in which a long rope is faked; used in the life-saving service for a line attached to a shot.\n\n1. To cheat; to swindle; to steal; to rob. 2. To make; to construct; to do. 3. To manipulate fraudulently, so as to make an object appear better or other than it really is; as, to fake a bulldog, by burning his upper lip and thus artificially shortening it.\n\nA trick; a swindle. [Slang]
faker |One who fakes something, as a thief, a peddler of petty things, a workman who dresses things up, etc. [Slang]
fakir |An Oriental religious ascetic or begging monk. [Written also faquir anf fakeer.]
fal-lals |Gay ornaments; frippery; gewgaws. [Colloq.] Thackeray.
falanaka |A viverrine mammal of Madagascar (Eupleres Goudotii), allied to the civet; -- called also Falanouc.
falcade |The action of a horse, when he throws himself on his haunches two or three times, bending himself, as it were, in very quick curvets. Harris.
falcate |Hooked or bent like a sickle; as, a falcate leaf; a falcate claw; -- said also of the moon, or a planet, when horned or crescent- formed.
falcated |Hooked or bent like a sickle; as, a falcate leaf; a falcate claw; -- said also of the moon, or a planet, when horned or crescent- formed.
falcation |The state of being falcate; a bend in the form of a sickle. Sir T. Browne.
falcer |One of the mandibles of a spider.
falchion |1. A broad-bladed sword, slightly curved, shorter and lighter than the ordinary sword; -- used in the Middle Ages. 2. A name given generally and poetically to a sword, especially to the swords of Oriental and fabled warriors.
falcidian |Of or pertaining to Publius Falcidius, a Roman tribune. Falcidian law (Civil Law), a law by which a testator was obliged to leave at least a fourth of his estate to the heir. Burrill.
falciform |Having the shape of a scithe or sickle; resembling a reaping hook; as, the falciform ligatment of the liver.
falcon |1. (Zoöl.) (a) One of a family (Falconidæ) of raptorial birds, characterized by a short, hooked beak, strong claws, and powerful flight. (b) Any species of the genus Falco, distinguished by having a toothlike lobe on the upper mandible; especially, one of this genus trained to the pursuit of other birds, or game. In the language of falconry, the female peregrine (Falco peregrinus) is exclusively called the falcon. Yarrell. 2. (Gun.)  An ancient form of cannon. Chanting falcon. (Zoöl.) See under Chanting.
falconer |A person who breeds or trains hawks for taking birds or game; one who follows the sport of fowling with hawks. Johnson.
falconet |1. One of the smaller cannon used in the 15th century and later. 2. (Zoöl.) (a) One of several very small Asiatic falcons of the genus Microhierax. (b) One of a group of Australian birds of the genus Falcunculus, resembling shrikes and titmice.
falcongentil |The female or young of the goshawk (Astur palumbarius).
falconine |Like a falcon or hawk; belonging to the Falconidæ
falconry |1. The art of training falcons or hawks to pursue and attack wild fowl or game. 2. The sport of taking wild fowl or game by means of falcons or hawks.
falcula |A curved and sharp-pointed claw.
falculate |Curved and sharppointed, like a falcula, or claw of a falcon.
faldage |A privilege of setting up, and moving about, folds for sheep, in any fields within manors, in order to manure them; -- often reserved to himself by the lord of the manor. Spelman.
faldfee |A fee or rent paid by a tenant for the privilege of faldage on his own ground. Blount.
falding |A frieze or rough-napped cloth. [Obs.]
faldistory |The throne or seat of a bishop within the chancel. [Obs.]
faldstool |A folding stool, or portable seat, made to fold up in the manner of a camo stool. It was formerly placed in the choir for a bishop, when he offciated in any but his own cathedral church. Fairholt. Note: In the modern practice of the Church of England, the term faldstool is given to the reading desk from which the litany is read. This esage is a relic of the ancient use of a lectern folding like a camp stool.
falernian |Of or pertaining to Mount Falernus, in Italy; as, Falernianwine.
falk |The razorbill. [Written also falc, and faik.] [Prov. Eng.]
fall |1. To Descend, either suddenly or gradually; particularly, to descend by the force of gravity; to drop; to sink; as, the apple falls; the tide falls; the mercury falls in the barometer. I beheld Satan as lightning fall from heaven. Luke x. 18. 2. To cease to be erect; to take suddenly a recumbent posture; to become prostrate; to drop; as, a child totters and falls; a tree falls; a worshiper falls on his knees. I fell at his feet to worship him. Rev. xix. 10. 3. To find a final outlet; to discharge its waters; to empty; -- with into; as, the river Rhone falls into the Mediterranean. 4. To become prostrate and dead; to die; especially, to die by violence, as in battle. A thousand shall fall at thy side. Ps. xci. 7. He rushed into the field, and, foremost fighting, fell. Byron. 5. To cease to be active or strong; to die away; to lose strength; to subside; to become less intense; as, the wind falls. 6. To issue forth into life; to be brought forth; -- said of the young of certain animals. Shak. 7. To decline in power, glory, wealth, or importance; to become insignificant; to lose rank or position; to decline in weight, value, price etc.; to become less; as, the falls; stocks fell two points. I am a poor falle man, unworthy now To be thy lord and master. Shak. The greatness of these Irish lords suddenly fell and vanished. Sir J. Davies. 8. To be overthrown or captured; to be destroyed. Heaven and earth will witness, If Rome must fall, that we are innocent. Addison. 9. To descend in character or reputation; to become degraded; to sink into vice, error, or sin; to depart from the faith; to apostatize; to sin. Let us labor therefore to enter into that rest, lest any man fall after the same example of unbelief. Heb. iv. 11. 10. To become insnared or embarrassed; to be entrapped; to be worse off than before; asm to fall into error; to fall into difficulties. 11. To assume a look of shame or disappointment; to become or appear dejected; -- said of the countenance. Cain was very wroth, and his countenance fell. Gen. iv. 5. I have observed of late thy looks are fallen. Addison. 12. To sink; to languish; to become feeble or faint; as, our spirits rise and fall with our fortunes. 13. To pass somewha suddenly, and passively, into a new state of body or mind; to become; as, to fall asleep; to fall into a passion; to fall in love; to fall into temptation. 14. To happen; to to come to pass; to light; to befall; to issue; to terminate. The Romans fell on this model by chance. Swift. Sit still, my daughter, until thou know how the matter will fall. Ruth. iii. 18. They do not make laws, they fall into customs. H. Spencer. 15. To come; to occur; to arrive. The vernal equinox, which at the Nicene Council fell on the 21st of March, falls now [1694] about ten days sooner. Holder. 16. To begin with haste, ardor, or vehemence; to rush or hurry; as, they fell to blows. They now no longer doubted, but fell to work heart and soul. Jowett (Thucyd. ). 17. To pass or be transferred by chance, lot, distribution, inheritance, or otherwise; as, the estate fell to his brother; the kingdom fell into the hands of his rivals. 18. To belong or appertain. If to her share some female errors fall, Look on her face, and you'll forget them all. Pope. 19. To be dropped or uttered carelessly; as, an unguarded expression fell from his lips; not a murmur fell from him. To fall abroad of (Naut.), to strike against; -- applied to one vessel coming into collision with another. -- To fall among, to come among accidentally or unexpectedly. -- To fall astern (Naut.), to move or be driven backward; to be left behind; as, a ship falls astern by the force of a current, or when outsailed by another. -- To fall away. (a) To lose flesh; to become lean or emaciated; to pine. (b) To renounce or desert allegiance; to revolt or rebel. (c) To renounce or desert the faith; to apostatize. \"These . . . for a while believe, and in time of temptation fall away.\" Luke viii. 13. (d) To perish; to vanish; to be lost. \"How . . . can the soul . . . fall away into nothing\" Addison. (e) To decline gradually; to fade; to languish, or become faint. \"One color falls away by just degrees, and another rises insensibly.\" Addison. -- To fall back. (a) To recede or retreat; to give way. (b) To fail of performing a promise or purpose; not to fulfill. -- To fall back upon. (a) (Mil.) To retreat for safety to (a stronger position in the rear, as to a fort or a supporting body of troops). (b) To have recourse to (a reserved fund, or some available expedient or support). -- To fall calm, to cease to blow; to become calm. -- To fall down. (a) To prostrate one's self in worship. \"All kings shall fall down before him.\" Ps. lxxii. 11. (b) To sink; to come to the ground. \"Down fell the beauteous youth.\" Dryden. (c) To bend or bow, as a suppliant. (d) (Naut.) To sail or drift toward the mouth of a river or other outlet. -- To fall flat, to produce no response or result; to fail of the intended effect; as, his speech fell flat. -- To fall foul of. (a) (Naut.) To have a collision with; to become entangled with (b) To attack; to make an assault upon. -- To fall from, to recede or depart from; not to adhere to; as, to fall from an agreement or engagement; to fall from allegiance or duty. -- To fall from grace (M. E. Ch.), to sin; to withdraw from the faith. -- To fall home (Ship Carp.), to curve inward; -- said of the timbers or upper parts of a ship's side which are much within a perpendicular. -- To fall in. (a) To sink inwards; as, the roof fell in. (b) (Mil.) To take one's proper or assigned place in line; as, to fall in on the right. (c) To come to an end; to terminate; to lapse; as, on the death of Mr. B., the annuuity, which he had so long received, fell in. (d) To become operative. \"The reversion, to which he had been nominated twenty years before, fell in.\" Macaulay. -- To fall into one's hands, to pass, often suddenly or unexpectedly, into one's ownership or control; as, to spike cannon when they are likely to fall into the hands of the enemy. -- To fall in with. (a) To meet with accidentally; as, to fall in with a friend. (b) (Naut.) To meet, as a ship; also, to discover or come near, as land. (c) To concur with; to agree with; as, the measure falls in with popular opinion. (d) To comply; to yield to. \"You will find it difficult to persuade learned men to fall in with your projects.\" Addison. -- To fall off. (a) To drop; as, fruits fall off when ripe. (b) To withdraw; to separate; to become detached; as, friends fall off in adversity. \"Love cools, friendship falls off, brothers divide.\" Shak. (c) To perish; to die away; as, words fall off by disuse. (d) To apostatize; to forsake; to withdraw from the faith, or from allegiance or duty. Those captive tribes . . . fell off From God to worship calves. Milton. (e) To forsake; to abandon; as, his customers fell off. (f) To depreciate; to change for the worse; to deteriorate; to become less valuable, abundant, or interesting; as, a falling off in the wheat crop; the magazine or the review falls off. \"O Hamlet, what a falling off was there!\" Shak. (g) (Naut.) To deviate or trend to the leeward of the point to which the head of the ship was before directed; to fall to leeward. -- To fall on. (a) To meet with; to light upon; as, we have fallen on evil days. (b) To begin suddenly and eagerly. \"Fall on, and try the appetite to eat.\" Dryden. (c) To begin an attack; to assault; to assail. \"Fall on, fall on, and hear him not.\" Dryden. (d) To drop on; to descend on. -- To fall out. (a) To quarrel; to begin to contend. A soul exasperated in ills falls out With everything, its friend, itself. Addison. (b) To happen; to befall; to chance. \"There fell out a bloody quarrel betwixt the frogs and the mice.\" L'Estrange. (c) (Mil.) To leave the ranks, as a soldier. -- To fall over. (a) To revolt; to desert from one side to another. (b) To fall beyond. Shak. -- To fall short, to be deficient; as, the corn falls short; they all fall short in duty. -- To fall through, to come to nothing; to fail; as, the engageent has fallen through. -- To fall to, to begin. \"Fall to, with eager joy, on homely food.\" Dryden. -- To fall under. (a) To come under, or within the limits of; to be subjected to; as, they fell under the jurisdiction of the emperor. (b) To come under; to become the subject of; as, this point did not fall under the cognizance or deliberations of the court; these things do not fall under human sight or observation. (c) To come within; to be ranged or reckoned with; to be subordinate to in the way of classification; as, these substances fall under a different class or order. -- To fall upon. (a) To attack. [See To fall on.] (b) To attempt; to have recourse to. \"I do not intend to fall upon nice disquisitions.\" Holder. (c) To rush against. Note: Fall primarily denotes descending motion, either in a perpendicular or inclined direction, and, in most of its applications, implies, literally or figuratively, velocity, haste, suddenness, or violence. Its use is so various, and so mush diversified by modifying words, that it is not easy to enumerate its senses in all its applications.\n\n1. To let fall; to drop. [Obs.] For every tear he falls, a Trojan bleeds. Shak. 2. To sink; to depress; as, to fall the voice. [Obs.] 3. To diminish; to lessen or lower. [Obs.] Upon lessening interest to four per cent, you fall the price of your native commodities. Locke. 4. To bring forth; as, to fall lambs. [R.] Shak. 5. To fell; to cut down; as, to fall a tree. [Prov. Eng. & Local, U.S.]\n\n1. The act of falling; a dropping or descending be the force of gravity; descent; as, a fall from a horse, or from the yard of ship. 2. The act of dropping or tumbling from an erect posture; as, he was walking on ice, and had a fall. 3. Death; destruction; overthrow; ruin. They thy fall conspire. Denham. Pride goeth before destruction, and a haughty spirit before a fall. Prov. xvi. 18. 4. Downfall; degradation; loss of greatness or office; termination of greatness, power, or dominion; ruin; overthrow; as, the fall of the Roman empire. Beholds thee glorious only in thy fall. Pope. 5. The surrender of a besieged fortress or town ; as, the fall of Sebastopol. 6. Diminution or decrease in price or value; depreciation; as, the fall of prices; the fall of rents. 7. A sinking of tone; cadence; as, the fall of the voice at the close of a sentence. 8. Declivity; the descent of land or a hill; a slope. 9. Descent of water; a cascade; a cataract; a rush of water down a precipice or steep; -- usually in the plural, sometimes in the singular; as, the falls of Niagara. 10. The discharge of a river or current of water into the ocean, or into a lake or pond; as, the fall of the Po into the Gulf of Venice. Addison. 11. Extent of descent; the distance which anything falls; as, the water of a stream has a fall of five feet. 12. The season when leaves fall from trees; autumn. What crowds of patients the town doctor kills, Or how, last fall, he raised the weekly bills. Dryden. 13. That which falls; a falling; as, a fall of rain; a heavy fall of snow. 14. The act of felling or cutting down. \"The fall of timber.\" Johnson. 15. Lapse or declinsion from innocence or goodness. Specifically: The first apostasy; the act of our first parents in eating the forbidden fruit; also, the apostasy of the rebellious angels. 16. Formerly, a kind of ruff or band for the neck; a falling band; a faule. B. Jonson. 17. That part (as one of the ropes) of a tackle to which the power is applied in hoisting. Fall herring (Zoöl.), a herring of the Atlantic (Clupea mediocris); -- also called tailor herring, and hickory shad. -- To try a fall, to try a bout at wrestling. Shak.
fallacious |Embodying or pertaining to a fallacy; illogical; fitted to deceive; misleading; delusive; as, fallacious arguments or reasoning. -- Fal*la\"cious*ly, adv. -Fal*la\"cious*ness, n.
fallacy |1. Deceptive or false appearance; deceitfulness; that which misleads the eye or the mind; deception. Winning by conquest what the first man lost, By fallacy surprised. Milton. 2. (Logic)  An argument, or apparent argument, which professes to be decisive of the matter at issue, while in reality it is not; a sophism. Syn. -- Deception; deceit; mistake. -- Fallacy, Sophistry. A fallacy is an argument which professes to be decisive, but in reality is not; sophistry is also false reasoning, but of so specious and subtle a kind as to render it difficult to expose its fallacy. Many fallacies are obvious, but the evil of sophistry lies in its consummate art. \"Men are apt to suffer their minds to be misled by fallacies which gratify their passions. Many persons have obscured and confounded the nature of things by their wretched sophistry; though an act be never so sinful, they will strip it of its guilt.\" South.
