cadetship |The position, rank, or commission of a cadet; as, to get a cadetship.
calefy |To make warm or hot.\n\nTo grow hot or warm. Sir T. Browne.
calembour |A pun.
calendar |1. An orderly arrangement of the division of time, adapted to the purposes of civil life, as years, months, weeks, and days; also, a register of the year with its divisions; an almanac. 2. (Eccl.)  A tabular statement of the dates of feasts, offices, saints' days, etc., esp. of those which are liable to change yearly according to the varying date of Easter. 3. An orderly list or enumeration of persons, things, or events; a schedule; as, a calendar of state papers; a calendar of bills presented in a legislative assemblly; a calendar of causes arranged for trial in court; a calendar of a college or an academy. Note: Shepherds of people had need know the calendars of tempests of state. Bacon. Calendar clock, one that shows the days of the week and month. -- Calendar month. See under Month. -- French Republican calendar. See under Vendémiaire. -- Gregorian calendar, Julian calendar, Perpetual calendar. See under Gregorian, Julian, and Perpetual.\n\nTo enter or write in a calendar; to register. Waterhouse.
calendarial |Of or pertaining to the calendar or a calendar.
calendary |Calendarial. [Obs.]
calender |1. A machine, used for the purpose of giving cloth, paper, etc., a smooth, even, and glossy or glazed surface, by cold or hot pressure, or for watering them and giving them a wavy appearance. It consists of two or more cylinders revolving nearly in contact, with the necessary apparatus for moving and regulating. 2. One who pursues the business of calendering. My good friend the calender. Cawper.\n\nTo press between rollers for the purpose of making smooth and glossy, or wavy, as woolen and silk stuffs, linens, paper, etc. Ure.\n\nOne of a sect or order of fantastically dressed or painted dervishes.
calendographer |One who makes calendars. [R.]
calendrer |A person who calenders cloth; a calender.
calendric |Of or pertaining to a calendar.
calendrical |Of or pertaining to a calendar.
calends |The first day of each month in the ancient Roman calendar. [Written also kalends.] The Greek calends, a time that will never come, as the Greeks had no calends.
calendula |A genus of composite herbaceous plants. One species, Calendula officinalis, is the common marigold, and was supposed to blossom on the calends of every month, whence the name.
calendulin |A gummy or mucilaginous tasteless substance obtained from the marigold or calendula, and analogous to bassorin.
calenture |A name formerly given to various fevers occuring in tropics; esp. to a form of furious delirium accompanied by fever, among sailors, which sometimes led the affected person to imagine the sea to be a green field, and to throw himself into it.\n\nTo see as in the delirium of one affected with calenture. [Poetic] Hath fed on pageants floating through the air Or calentures in depths of limpid flood. Wordsworth.
calescence |Growing warmth; increasing heat.
calf |1. The young of the cow, or of the Bovine family of quadrupeds. Also, the young of some other mammals, as of the elephant, rhinoceros, hippopotamus, and whale. 2. Leather made of the skin of the calf; especially, a fine, light- colored leather used in bookbinding; as, to bind books in calf. 3. An awkward or silly boy or young man; any silly person; a dolt. [Colloq.] Some silly, doting, brainless calf. Drayton. 4. A small island near a larger; as, the Calf of Man. 5. A small mass of ice set free from the submerged part of a glacier or berg, and rising to the surface. Kane. 6. Etym: [Cf. Icel. kalfi.]  The fleshy hinder part of the leg below the knee. Calf's-foot jelly, jelly made from the feet of calves. The gelatinous matter of the feet is extracted by boiling, and is flavored with sugar, essences, etc.
calfskin |The hide or skin of a calf; or leather made of the skin.
cali |The tenth avatar or incarnation of the god Vishnu. [Written also Kali.]
caliber |1. (Gunnery)  The diameter of the bore, as a cannon or other firearm, or of any tube; or the weight or size of the projectile which a firearm will carry; as, an 8 inch gun, a 12-pounder, a 44 caliber. The caliber of empty tubes. Reid. A battery composed of three guns of small caliber. Prescott. Note: The caliber of firearms is expressed in various ways. Cannon are often designated by the weight of a solid spherical shot that will fit the bore; as, a 12-pounder; pieces of ordnance that project shell or hollow shot are designated by the diameter of their bore; as, a 12 inch mortar or a 14 inch shell gun; small arms are designated by hundredths of an inch expressed decimally; as, a rifle of .44 inch caliber. 2. The diameter of round or cylindrical body, as of a bullet or column. 3. Fig.: Capacity or compass of mind. Burke. Caliber compasses. See Calipers. -- Caliber rule, a gunner's calipers, an instrument having two scales arranged to determine a ball's weight from its diameter, and conversely. -- A ship's caliber, the weight of her armament.
calibrate |To ascertain the caliber of, as of a thermometer tube; also, more generally, to determine or rectify the graduation of, as of the various standards or graduated instruments.
calibration |The process of estimating the caliber a tube, as of a thermometer tube, in order to graduate it to a scale of degrees; also, more generally, the determination of the true value of the spaces in any graduated instrument.
calibre |1. (Gunnery)  The diameter of the bore, as a cannon or other firearm, or of any tube; or the weight or size of the projectile which a firearm will carry; as, an 8 inch gun, a 12-pounder, a 44 caliber. The caliber of empty tubes. Reid. A battery composed of three guns of small caliber. Prescott. Note: The caliber of firearms is expressed in various ways. Cannon are often designated by the weight of a solid spherical shot that will fit the bore; as, a 12-pounder; pieces of ordnance that project shell or hollow shot are designated by the diameter of their bore; as, a 12 inch mortar or a 14 inch shell gun; small arms are designated by hundredths of an inch expressed decimally; as, a rifle of .44 inch caliber. 2. The diameter of round or cylindrical body, as of a bullet or column. 3. Fig.: Capacity or compass of mind. Burke. Caliber compasses. See Calipers. -- Caliber rule, a gunner's calipers, an instrument having two scales arranged to determine a ball's weight from its diameter, and conversely. -- A ship's caliber, the weight of her armament.
calice |See Chalice.
calicle |(a) One of the small cuplike cavities, often with elevated borders, covering the surface of most corals. Each is formed by a polyp. (b) One of the cuplike structures inclosing the zooids of certain hydroids. See Campanularian. [Written also calycle. See Calycle.]
calico |1. Plain white cloth made from cotton, but which receives distinctive names according to quality and use, as, super calicoes, shirting calicoes, unbleached calicoes, etc. [Eng.] The importation of printed or stained colicoes appears to have been coeval with the establishment of the East India Company. Beck (Draper's Dict. ). 2. Cotton cloth printed with a figured pattern. Note: In the United States the term calico is applied only to the printed fabric. Calico bass (Zoöl.), an edible, fresh-water fish (Pomoxys sparaides) of the rivers and lake of the Western United States (esp. of the Misissippi valley.), allied to the sunfishes, and so called from its variegated colors; -- called also calicoback, grass bass, strawberry bass, barfish, and bitterhead. -- Calico printing, the art or process of impressing the figured patterns on calico.\n\nMade of, or having the apperance of, calico; -- often applied to an animal, as a horse or cat, on whose body are large patches of a color strikingly different from its main color. [Colloq. U. S.]
calicoback |(a) The calico bass. (b) An hemipterous insect (Murgantia histrionica) which injures the cabbage and other garden plants; -- called also calico bug and harlequin cabbage bug.
calicular |Relating to, or resembling, a cup; also improperly used for calycular, calyculate.
caliculate |Relating to, or resembling, a cup; also improperly used for calycular, calyculate.
calid |Hot; burning; ardent. [Obs.] Bailey.
calidity |Heat. [Obs.]
caliduct |A pipe or duct used to convey hot air or steam. Subterranean caliducts have been introduced. Evelyn.
calif |Same as Caliph, Caliphate, etc.
califate |Same as Caliph, Caliphate, etc.
california jack |A game at cards, a modification of seven-up, or all fours.
californian |Of or pertaining to California. -- n.  A native or inhabitant of California.
caligation |Dimness; cloudiness. [R.] Sir T. Browne.
caliginosity |Darkness. [R.] G. Eliot.
caliginous |Affected with darkness or dimness; dark; obscure. [R.] Blount. The caliginous regions of the air. Hallywell. -- Ca*lig\"i*nous*ly, adv. -- Ca*lig\"i*nous*ness, n.
caligo |Dimness or obscurity of sight, dependent upon a speck on the cornea; also, the speck itself.
caligraphic |See Calligraphic.
caligraphy |See Caligraphy.
calin |An alloy of lead and tin, of which the Chinese make tea canisters.
calipash |A part of a turtle which is next to the upper shell. It contains a fatty and gelatinous substance of a dull greenish tinge, much esteemed as a delicacy in preparations of turtle.
calipee |A part of a turtle which is attached to the lower shell. It contains a fatty and gelatinous substance of a light yellowish color, much esteemed as a delicacy. Thackeray.
calipers |An instrument, usually resembling a pair of dividers or compasses with curved legs, for measuring the diameter or thickness of bodies, as of work shaped in a lathe or planer, timber, masts, shot, etc.; or the bore of firearms, tubes, etc.; -- called also caliper compasses, or caliber compasses. Caliper square, a draughtsman's or mechanic's square, having a graduated bar and adjustable jaw or jaws. Knight. -- Vernier calipers. See Vernier.
caliph |Successor or vicar; -- a title of the successors of Mohammed both as temporal and spiritual rulers, now used by the sultans of Turkey, [Writting also calif.]
caliphate |The office, dignity, or government of a caliph or of the caliphs.
calippic |Of or pertaining to Calippus, an Athenian astronomer. Calippic period, a period of seventy-six years, proposed by Calippus, as an improvement on the Metonic cycle, since the 6940 days of the Metonic cycle exceeded 19 years by about a quarter of a day, and exceeded 235 lunations by something more.
calisaya bark |A valuable kind of Peruvian bark obtained from the Cinchona Calisaya, and other closely related species.
calistheneum |A gymnasium; esp. one for light physical exercise by women and children.
calisthenic |Of or pertaining to calisthenics.
calisthenics |The science, art, or practice of healthful exercise of the body and limbs, to promote strength and gracefulness; light gymnastics.
caliver |An early form of hand gun, variety of the arquebus; originally a gun having a regular size of bore. [Obs.] Shak.
calix |A cup. See Calyx.
calk |1. To drive tarred oakum into the seams between the planks of (a ship, boat, etc.), to prevent leaking. The calking is completed by smearing the seams with melted pitch. 2. To make an indentation in the edge of a metal plate, as along a seam in a steam boiler or an iron ship, to force the edge of the upper plate hard against the lower and so fill the crevice.\n\nTo copy, as a drawing, by rubbing the back of it with red or black chalk, and then passing a blunt style or needle over the lines, so as to leave a tracing on the paper or other thing against which it is laid or held. [Writting also calque]\n\n1. A sharp-pointed piece or iron or steel projecting downward on the shoe of a nore or an ox, to prevent the animal from slipping; -- called also calker, calkin. 2. An instrument with sharp points, worn on the sole of a shoe or boot, to prevent slipping.\n\n1. To furnish with calks, to prevent slipping on ice; as, to calk the shoes of a horse or an ox. 2. To wound with a calk; as when a horse injures a leg or a foot with a calk on one of the other feet.
calker |1. One who calks. 2. A calk on a shoe. See Calk, n., 1.
calkin |A calk on a shoe. See Calk, n., 1.
calking |The act or process of making seems tight, as in ships, or of furnishing with calks, as a shoe, or copying, as a drawing. Calking iron, a tool like a chisel, used in calking ships, tightening seams in ironwork, etc. Their left hand does the calking iron guide. Dryden.
call |1. To command or request to come or be present; to summon; as, to call a servant. Call hither Clifford; bid him come amain Shak. 2. To summon to the discharge of a particular duty; to designate for an office, or employment, especially of a religious character; -- often used of a divine summons; as, to be called to the ministry; sometimes, to invite; as, to call a minister to be the pastor of a church. Paul . . . called to be an apostle Rom. i. 1. The Holy Ghost said, Separate me Barnabas and Saul for the work whereunto I have called them. Acts xiii. 2. 3. To invite or command to meet; to convoke; -- often with together; as, the President called Congress together; to appoint and summon; as, to call a meeting of the Board of Aldermen. Now call we our high court of Parliament. Shak. 4. To give name to; to name; to address, or speak of, by a specifed name. If you would but call me Rosalind. Shak. And God called the light Day, and the darkness he called Night. Gen. i. 5. 5. To regard or characterize as of a certain kind; to denominate; to designate. What God hath cleansed, that call not thou common. Acts x. 15. 6. To state, or estimate, approximately or loosely; to characterize without strict regard to fact; as, they call the distance ten miles; he called it a full day's work. [The] army is called seven hundred thousand men. Brougham. 7. To show or disclose the class, character, or nationality of. [Obs.] This speech calls him Spaniard. Beau. & Fl. 8. To utter in a loud or distinct voice; -- often with off; as, to call, or call off, the items of an account; to call the roll of a military company. No parish clerk who calls the psalm so clear. Gay. 9. To invoke; to appeal to. I call God for a witness. 2 Cor. i. 23 [Rev. Ver. ] 10. To rouse from sleep; to awaken. If thou canst awake by four o' the clock. I prithee call me. Sleep hath seized me wholly. Shak. To call a bond, to give notice that the amount of the bond will be paid. -- To call a party (Law), to cry aloud his name in open court, and command him to come in and perform some duty requiring his presence at the time on pain of what may befall him. -- To call back, to revoke or retract; to recall; to summon back. -- To call down, to pray for, as blessing or curses. -- To call forth, to bring or summon to action; as, to call forth all the faculties of the mind. -- To call in, (a) To collect; as, to call in debts or money; ar to withdraw from cirulation; as, to call in uncurrent coin. (b) To summon to one's side; to invite to come together; as, to call in neighbors. -- To call (any one) names, to apply contemptuous names (to any one). -- To call off, to summon away; to divert; as, to call off the attention; to call off workmen from their employment. -- To call out. (a) To summon to fight; to challenge. (b) To summon into service; as, to call out the militia. -- To call over, to recite separate particulars in order, as a roll of names. -- To call to account, to demand explanation of. -- To call to mind, to recollect; to revive in memory. -- To call to order, to request to come to order; as: (a) A public meeting, when opening it for business. (b) A person, when he is transgressing the rules of debate. -- To call to the bar, to admit to practice in courts of law. -- To call up. (a) To bring into view or recollection; as to call up the image of deceased friend. (b) To bring into action or discussion; to demand the consideration of; as, to call up a bill before a legislative body. Syn. -- To name; denominate; invite; bid; summon; convoke; assemble; collect; exhort; warn; proclaim; invoke; appeal to; designate. To Call, Convoke, Summon. Call is the generic term; as, to call a public meeting. To convoke is to require the assembling of some organized body of men by an act of authority; as, the king convoked Parliament. To summon is to require attendance by an act more or less stringent anthority; as, to summon a witness.\n\n1. To speak in loud voice; to cry out; to address by name; -- sometimes with to. You must call to the nurse. Shak. The angel of God called to Hagar. Gen. xxi. 17. 2. To make a demand, requirement, or request. They called for rooms, and he showed them one. Bunyan. 3. To make a brief visit; also, to stop at some place designated, as for orders. He ordered her to call at the house once a week. Temple. To call for (a) To demand; to require; as, a crime calls for punishment; a survey, grant, or deed calls for the metes and bounds, or the quantity of land, etc., which it describes. (b) To give an order for; to request. \"Whenever the coach stopped, the sailor called for more ale.\" Marryat. -- To call on, To call upon, (a) To make a short visit to; as, call on a friend. (b) To appeal to; to invite; to request earnestly; as, to call upon a person to make a speech. (c) To solicit payment, or make a demand, of a debt. (d) To invoke or play to; to worship; as, to call upon God. -- To call out To call or utter loudly; to brawl.\n\n1. The act of calling; -- usually with the voice, but often otherwise, as by signs, the sound of some instrument, or by writing; a summons; an entreaty; an invitation; as, a call for help; the bugle's call. \"Call of the trumpet.\" Shak. I rose as at thy call, but found thee not. Milton. 2. A signal, as on a drum, bugle, trumpet, or pipe, to summon soldiers or sailors to duty. 3. (Eccl.)  An invitation to take charge of or serve a church as its pastor. 4. A requirement or appeal arising from the circumstances of the case; a moral requirement or appeal. Dependence is a perpetual call upon hummanity. Addison. Running into danger without any call of duty. Macaulay. 5. A divine vocation or summons. St. Paul himself believed he did well, and that he had a call to it, when he persecuted the Christians. Locke. 6. Vocation; employment. Note: [In this sense, calling is generally used.] 7. A short visit; as, to make a call on a neighbor; also, the daily coming of a tradesman to solicit orders. The baker's punctual call. Cowper. 8. (Hunting)  A note blown on the horn to encourage the hounds. 9. (Naut.)  A whistle or pipe, used by the boatswain and his mate, to summon the sailors to duty. 10. (Fowling)  The cry of a bird; also a noise or cry in imitation of a bird; or a pipe to call birds by imitating their note or cry. 11. (Amer. Land Law)  A reference to, or statement of, an object, course, distance, or other matter of description in a survey or grant reguiring or calling for a carresponding object, etc., on the land. 12. The privilege to demand the delivery of stock, grain, or any commodity, at a fixed, price, at or within a certain time agreed on. [Brokers' Cant] 13. See Assessment, 4. At call, or On call, liable to be demanded at any moment without previous notice; as money on deposit. -- Call bird, a bird taught to allure others into a snare. -- Call boy (a) A boy who calls the actors in a theater; a boy who transmits the orders of the captain of a vessel to the engineer, helmsman, etc. (b) A waiting boy who answers a cal, or cames at the ringing of a bell; a bell boy. -- Call note, the note naturally used by the male bird to call the female. It is artifically applied by birdcatchers as a decoy. Latham. -- Call of the house (Legislative Bodies), a calling over the names of members, to discover who is absent, or for other purposes; a calling of names with a view to obtaining the ayes and noes from the persons named. -- Call to the bar, admission to practice in the courts.
calla |A genus of plants, of the order Araceæ. Note: The common Calla of cultivation is Richardia Africana, belonging to another genus of the same order. Its large spathe is pure white, surrounding a fleshy spike, which is covered with minute apetalous flowers.
callat |Same as Callet. [Obs.] A callat of boundless tongue. Shak.
calle |A kind of head covering; a caul. [Obs.] Chaucer.
caller |One who calls.\n\n1. Cool; refreshing; fresh; as, a caller day; the caller air. Jamieson. 2. Fresh; in good condition; as, caller berrings.
callet |A trull or prostitute; a scold or gossip. [Obs.] [Written also callat.]\n\nTo rail or scold. [Obs.] Brathwait.
callid |Characterized by cunning or shrewdness; crafty. [R.]
callidity |Acuteness of discernment; cunningness; shrewdness. [R.] Her eagly-eyed callidity. C. Smart.
calligrapher |One skilled in calligraphy; a good penman.
calligraphic |Of or pertaining to calligraphy. Excellence in the calligraphic act. T. Warton.
calligraphical |Of or pertaining to calligraphy. Excellence in the calligraphic act. T. Warton.
calligraphist |A calligrapher
calligraphy |Fair or elegant penmanship.
calling |1. The act of one who calls; a crying aloud, esp. in order to summon, or to attact the attention of, some one. 2. A summoning or convocation, as of Parliament. The frequent calling and meeting of Parlaiment. Macaulay. 3. A divine summons or invitation; also, the state of being divinely called. Who hath . . . called us with an holy calling. 2 Tim. i. 9. Give diligence to make yior calling . . . sure. 2 Pet. i. 10. 4. A naming, or inviting; a reading over or reciting in order, or a call of names with a view to obtaining an answer, as in legislative bodies. 5. One's usual occupation, or employment; vocation; business; trade. The humble calling of ter female parent. Thackeray. 6. The persons, collectively, engaged in any particular professions or employment. To impose celibacy on wholy callings. Hammond. 7. Title; appellation; name. [Obs.] I am more proud to be Sir Rowland's son His youngest son, and would not change that calling. Shak. Syn. -- Occupation; employment; business; trade; profession; office; engagement; vocation.
calliope |1. (Class. Myth.)  The Muse that presides over eloquence and heroic poetry; mother of Orpheus, and chief of the nine Muses. 2. (Astron.)  One of the astreids. See Solar. 3. A musical instrument consisting of series of steam whistles, toned to the notes of the scale, and played by keys arranged like those of an organ. It is sometimes attached to steamboat boilers. 4. (Zoöl.)  A beautuful species of humming bird (Stellula Calliope) of California and adjacent regions.
calliopsis |A popular name given to a few species of the genus Careopsis, especially to C. tinctoria of Arkansas.
callipash |See Calipash.
callipee |See Calipee.
callipers |See Calipers.
callisection |Painless vivisection; -- opposed to sentisection. B. G. Wilder.
callisthenic |See Calisthenic, Calisthenics.
callisthenics |See Calisthenic, Calisthenics.
callithump |A somewhat riotous parade, accompanied with the blowing of tin horus, and other discordant noises; also, a burlesque serenade; a charivari. [U. S.]
callithumpian |Of, pertaining to, or resembling, a callithump. [U. S.]
callosan |Of the callosum.
callose |Furnished with protuberant or hardened spots.
callosity |A hard or thickened spot or protuberance; a hardening and thickening of the skin or bark of a part, eps. as a result of continued pressure or friction.
callosum |The great band commissural fibers which unites the two cerebral hemispheres. See corpus callosum, under Carpus.
callot |A plant coif or skullcap. Same as Calotte. B. Jonson.\n\nA close cap without visor or brim. Especially: (a) Such a cap, worn by English serjeants at law. (b) Such a cap, worn by the French cavalry under their helmets. (c) Such a cap, worn by the clergy of the Roman Catholic Church. To assume the calotte, to become a priest.
callous |1. Hardenes; indurated. \"A callous hand.\" Goldsmith. \"A callous ulcer.\" Dunglison. 2. Hardened in mind; insensible; unfeeling; unsusceptible. \"The callous diplomatist.\" Macaulay. It is an immense blessing to be perfectly callous to ridicule. T. Arnold. Syn. -- Obdurate; hard; hardened; indurated; insensible; unfeeling; unsusceptible. See Obdurate. -- Cal\"lous*ly, adv. -- Cal\"lous*ness, n. A callousness and numbness of soul. Bentley.
callow |1. Destitute of feathers; naked; unfledged. An in the leafy summit, spied a nest, Which, o'er the callow young, a sparrow pressed. Dryden. 2. Immature; boyish; \"green\"; as, a callow youth. I perceive by this, thou art but a callow maid. Old Play [1675].\n\nA kind of duck. See Old squaw.
callus |1. (Med.) (a) Same as Callosity. (b  The material of repair in fractures of bone; a substance exuded at the site of fracture, which is at first soft or cartilaginous in consistence, but is ultimately converted into true bone and unites the fragments into a single piece. 2. (Hort.)  The new formation over the end of a cutting, before it puts out rootlets.
callyciflorous |Having the petals and stamens adnate to the calyx; -- applied to a subclass of dicotyledonous plants in the system of the French botanist Candolle.
calm |Freodom from motion, agitation, or disturbance; a cessation or abeence of that which causes motion or disturbance, as of winds or waves; tranquility; stilness; quiet; serenity. The wind ceased, and there was a great calm. Mark. iv. 39. A calm before a storm is commonly a peace of a man's own making. South.\n\n1. To make calm; to render still or quet, as elements; as, to calm the winds. To calm the tempest raised by Eolus. Dryden. 2. To deliver from agitation or excitement; to still or soothe, as the mind or passions. Passions which seem somewhat calmed. Syn. -- To still; quiet; appease; ally; pacigy; tranquilize; soothe; compose; assuage; check; restrain.\n\n1. Not stormy; without motion, as of winds or waves; still; quiet; serene; undisturbed. \"Calm was the day.\" Spenser. Now all is calm, and fresh, and still. Bryant. 2. Undisturbed by passion or emotion; not agitated or excited; tranquil; quiet in act or speech. \"Calm and sinless peace.\" Milton. \"With calm attention.\" Pope. Such calm old age as conscience pure And self-commanding hearts ensure. Keble. Syn. -- Still; quiet; undisturbed; tranquil; peaceful; serene; composed; unruffled; sedate; collected; placid.
calmer |One who, or that which, makes calm.
calmly |In a calm manner. The gentle stream which calmly flows. Denham.
calmness |The state of quality of being calm; quietness; tranquillity; self-repose. The gentle calmness of the flood. Denham. Hes calmness was the repose of conscious power. E. Everett. Syn. -- Quietness; quietude; stillness; tranquillity; serenity; repose; composure; sedateness; placidity.
calmucks |; sing. Calmuck. A branch of the Mongolian race inbabiting parts of the Russian and Chinese empires; also (sing.), the language of the Calmucks. [Written also Kalmucks.]
calmy |Tranquil; peaceful; calm. [Poet.] \"A still and calmy day\" Spenser.
calomel |Mild chloride of mercury, Hg
calorescence |The conversion of obscure radiant heat info kight; the transmutation of rays of heat into others of higher refrangibility. Tyndall.
caloric |The principle of heat, or the agent to which the phenomena of heat and combustion were formerly ascribed; -- not now used in scientific nomenclature, but sometimes used as a general term for heat. Caloric expands all bodies. Henry.\n\nOf or pertaining to caloric. Caloric engine, a kind of engine operated air.
caloricity |A faculty in animals of developing and preserving the heat nesessary to life, that is, the animal heat.
caloriduct |A tube or duct for conducting heat; a caliduct.
calorie |The unit of heat according to the Frensc standard; the amount of heat requires to raise the temperature of one kilogram (sometimes, one gram) of water one degree centigrade, or from 0Foot pound.
calorifacient |See Calorificient.
calorifere |An apparatus for conveying and distributing heat, especially by means of hot water circulating in tubes.
calorifiant |See Calorificient.
calorific |Possessing the quality of producing heat; heating. Calorific rays, the invisible, heating rays which emanate from the sum, and burning and heated bodies.
calorification |Production of heat, esp. animal heat.
calorificient |Having, or relating to the power of producing heat; -- applied to foods which, being rich in carbon, as the fats, are supposed to give rise to heat in the animal body by oxidation.
calorimeter |1. (Physiol.)  An apparatus for measuring the amount of heat contained in bodies or developed by some mechanical or chemical process, as friction, chemical combination, combustion, etc. 2. (Engineering)  An apparatus for measuring the proportion of unevaporated water contained in steam.
calorimetric |Of or pertaining to process of using the calorimeter. Satisfactory calorimetric results. Nichol.
calorimetry |Measurement of the quantities of heat in bodies.
calorimotor |A voltaic battery, having a large surface of plate, and producing powerful heating effects.
calorisator |An apparatus used in beet-sugar factories to heat the juice in order to aid the diffusion.
calotte |A close cap without visor or brim. Especially: (a) Such a cap, worn by English serjeants at law. (b) Such a cap, worn by the French cavalry under their helmets. (c) Such a cap, worn by the clergy of the Roman Catholic Church. To assume the calotte, to become a priest.
calotype |A method of taking photographic pictures, on paper sensitized with iodide of silver; -- also called Talbotype, from the inventor, Mr. Fox. Talbot.
caloyer |A monk of the Greek Church; a cenobite, anchoret, or recluse of the rule of St. Basil, especially, one on or near Mt. Athos.
calque |See 2d Calk, v. t.
caltrap |1. (Bot.)  A genus of herbaceous plants (Tribulus) of the order Zygophylleæ, having a hard several-celled fruit, armed with stout spines, and resembling the military instrument of the same name. The species grow in warm countries, and are often very annoying to cattle. 2. (Mil.)  An instrument with four iron points, so disposed that, any three of them being on the ground, the other projects upward. They are scattered on the ground where an enemy's cavalry are to pass, to impede their progress by endangering the horses' feet.
caltrop |1. (Bot.)  A genus of herbaceous plants (Tribulus) of the order Zygophylleæ, having a hard several-celled fruit, armed with stout spines, and resembling the military instrument of the same name. The species grow in warm countries, and are often very annoying to cattle. 2. (Mil.)  An instrument with four iron points, so disposed that, any three of them being on the ground, the other projects upward. They are scattered on the ground where an enemy's cavalry are to pass, to impede their progress by endangering the horses' feet.
calumba |The root of a plant (Jateorrhiza Calumba, and probably Cocculus palmatus), indigenous in Mozambique. It has an unpleasantly bitter taste, and is used as a tonic and antiseptic. [Written also colombo, columbo, and calombo.] American calumba, the Frasera Carolinensis, also called American gentian. Its root has been used in medicine as bitter tonic in place of calumba.
calumbin |A bitter principle extracted as a white crystalline substance from the calumba root. [Written also colombin, and columbin]
calumet |A kind of pipe, used by the North American Indians for smoking tobacco. The bowl is usually made of soft red stone, and the tube is a long reed often ornamented with feathers. Smoked the calumet, the Peace pipe, As a signal to the nations. Lowgfellow. Note: The calumet is used as a symbol of peace. To accept the calumet is to agree to terms of peace, and to refuse it is to reject them. The calumet of peace is used to seal or ratify contracts and alliances, and as an evidence to strangers that they are welcome.
calumniate |To accuse falsely and maliciously of a crime or offense, or of something disreputable; to slander; to libel. Hatred unto the truth did always falsely report and calumniate all godly men's doings. Strype. Syn. -- To asperse; slander; defame; vilify; traduce; belie; bespatter; blacken; libel. See Asperse.\n\nTo propagate evil reports with a design to injure the reputation of another; to make purposely false charges of some offense or crime.
calumniation |False accusation of crime or offense, or a malicious and false representation of the words or actions of another, with a view to injure his good name. The calumniation of her principal counselors. Bacon.
calumniator |One who calumniates. Syn. -- Slanderer; defamer; libeler; traducer.
calumniatory |Containing calumny; slanderous. Montagu.
calumnious |Containing or implying calumny; false, malicious, and injurious to reputation; slanderous; as, calumnious reports. Virtue itself 'scapes not calumnious strokes. Shak. Syn: Slanderous; defamatory; scurrilous; opprobrious; derogatory; libelous; abusive. Syn: -- Ca*lum\"ni*ous*ly, adv. -- Ca*lum\"ni*ous*ness, n.
calumny |False accusation of a crime or offense, maliciously made or reported, to the injury of another; malicious misrepresentation; slander; detraction. \"Infamouse calumnies.\" Motley. Be thou as chaste as ice, as pure as snow, thou shalt not escape calumny. Shak.
calvaria |The bones of the cranium; more especially, the bones of the domelike upper portion.
calvary |1. The place where Christ was crucified, on a small hill outside of Jerusalem. Luke xxiii. 33. Note: The Latin calvaria is a translation of the Greek Golgotha. Dr. W. Smith. 2. A representation of the crucifixion, consisting of three crosses with the figures of Christ and the thieves, often as large as life, and sometimes surrounded by figures of other personages who were present at the crucifixion. 3. (Her.)  A cross, set upon three steps; -- more properly called cross calvary.
calve |1. To bring forth a calf. \"Their cow calveth.\" Job xxi. 10. 2. To bring forth young; to produce offspring. Canst thou mark when the hinds do calve Job xxxix. 1. The grassy clods now calved. Molton.
calver |1. To cut in slices and pickle, as salmon. [Obs.] For a change, leave calvered salmon and eat sprats. Massinger. 2. To crimp; as, calvered salmon. Nares.\n\nTo bear, or be susceptible of, being calvered; as, grayling's flesh will calver. Catton.
calvessnout |Snapdragon.
calvinism |The theological tenets or doctrines of John Calvin (a French theologian and reformer of the 16th century) and his followers, or of the so-called calvinistic churches. Note: The distinguishing doctrines of this system, usually termed the five points of Calvinism, are original sin or total depravity, election or predestination, particular redemption, effectual calling, and the perseverance of the saints. It has been subject to many variations and modifications in different churches and at various times.
calvinist |A follower of Calvin; a believer in Calvinism.
calvinistic |Of or pertaining to Calvin, or Calvinism; following Calvin; accepting or Teaching Calvinism. \"Calvinistic training.\" Lowell.
calvinistical |Of or pertaining to Calvin, or Calvinism; following Calvin; accepting or Teaching Calvinism. \"Calvinistic training.\" Lowell.
calvinize |To convert to Calvinism.
calvish |Like a calf; stupid. Sheldon.
calx |1. (Chem.) (a) Quicklime. [Obs.] (b) The substance which remains when a metal or mineral has been subjected to calcination or combustion by heat, and which is, or may be, reduced to a fine powder. Note: Metallic calxes are now called oxides. 2. Broken and refuse glass, returned to the post.
calycifloral |Having the petals and stamens adnate to the calyx; -- applied to a subclass of dicotyledonous plants in the system of the French botanist Candolle.
calyciform |Having the form or appearance of a calyx.
calycinal |Pertaining to a calyx; having the nature of a calyx.
calycine |Pertaining to a calyx; having the nature of a calyx.
calycle |A row of small bracts, at the base of the calyx, on the outside.
calycled |Calyculate.
calycozoa |A group of acalephs of which Lucernaria is the type. The body is cup-shaped with eight marginal lobes bearing clavate tentacles. An aboral sucker serves for attachment. The interior is divided into four large compartments. See Lucernarida.
calycular |Pertaining to, or resembling, the bracts of a calycle.
calyculate |Having a set of bracts resembling a calyx.
calyculated |Having a set of bracts resembling a calyx.
calymene |A genus of trilobites characteristic of the Silurian age.
calyon |Flint or pebble stone, used in building walls, etc. Haliwell.
calypso |A small and beautiful species of orchid, having a flower variegated with purple, pink, and yellow. It grows in cold and wet localities in the northern part of the United States. The Calypso borealis is the only orchid which reaches 68º N.
