aluminum |See Aluminium.
ametabolous |Not undergoing any metamorphosis; as, ametabolic insects.
amethodist |One without method; a quack. [Obs.]
amethyst |1. (Min.)  A variety of crystallized quartz, of a purple or bluish violet color, of different shades. It is much used as a jeweler's stone. Oriental amethyst, the violet-blue variety of transparent crystallized corundum or sapphire. 2. (Her.)  A purple color in a nobleman's escutcheon, or coat of arms.
amethystine |1. Resembling amethyst, especially in color; bluish violet. 2. Composed of, or containing, amethyst.
ametropia |Any abnormal condition of the refracting powers of the eye. -- Am`e*trop\"ic, a.
amharic |Of or pertaining to Amhara, a division of Abyssinia; as, the Amharic language is closely allied to the Ethiopic. -- n.  The Amharic language (now the chief language of Abyssinia).
amia |A genus of fresh-water ganoid fishes, exclusively confined to North America; called bowfin in Lake Champlain, dogfish in Lake Erie, and mudfish in South Carolina, etc. See Bowfin.
amiability |The quality of being amiable; amiableness; sweetness of disposition. Every excellency is a degree of amiability. Jer. Taylor.
amiable |1. Lovable; lovely; pleasing. [Obs. or R.] So amiable a prospect. Sir T. Herbert. 2. Friendly; kindly; sweet; gracious; as, an amiable temper or mood; amiable ideas. 3. Possessing sweetness of disposition; having sweetness of temper, kind-heartedness, etc., which causes one to be liked; as, an amiable woman. 4. Done out of love. [Obs.] Lay an amiable siege to the honesty of this Ford's wife. Shak.
amiableness |The quality of being amiable; amiability.
amiably |In an amiable manner.
amianth |See Amianthus. [Poetic]
amianthiform |Resembling amianthus in form.
amianthoid |Resembling amianthus.
amianthus |Earth flax, or mountain flax; a soft silky variety of asbestus.
amic |Related to, or derived, ammonia; -- used chiefly as a suffix; as, amic acid; phosphamic acid. Amic acid (Chem.), one of a class of nitrogenized acids somewhat resembling amides.
amicability |The quality of being amicable; friendliness; amicableness. Ash.
amicable |Friendly; proceeding from, or exhibiting, friendliness; after the manner of friends; peaceable; as, an amicable disposition, or arrangement. That which was most remarkable in this contest was . . . the amicable manner in which it was managed. Prideoux. Amicable action (Law.), an action commenced and prosecuted by amicable consent of the parties, for the purpose of obtaining a decision of the court on some matter of law involved in it. Bouvier. Burrill. -- Amicable numbers (Math.), two numbers, each of which is equal to the sum of all the aliquot parts of the other. Syn. -- Friendly; peaceable; kind; harmonious. -- Amicable, Friendly. Neither of these words denotes any great warmth of affection, since friendly has by no means the same strength as its noun friendship. It does, however, imply something of real cordiality; while amicable supposes very little more than that the parties referred to are not disposed to quarrel. Hence, we speak of amicable relations between two countries, an amicable adjustment of difficulties. \"Those who entertain friendly feelings toward each other can live amicably together.\",
  "trespass |1. To pass beyond a limit or boundary; hence, to depart; to go. [Obs.] Soon after this, noble Robert de Bruce . . . trespassed out of this uncertain world. Ld. Berners. 2. (Law)  To commit a trespass; esp., to enter unlawfully upon the land of another. 3. To go too far; to put any one to inconvenience by demand or importunity; to intrude; as, to trespass upon the time or patience of another. 4. To commit any offense, or to do any act that injures or annoys another; to violate any rule of rectitude, to the injury of another; hence, in a moral sense, to transgress voluntarily any divine law or command; to violate any known rule of duty; to sin; -- often followed by against. In the time of his distress did he trespass yet more against the Lord. 2 Chron. xxviii. 22.\n\n1. Any injury or offence done to another. I you forgive all wholly this trespass. Chaucer. If ye forgive not men their trespasses, neither will your Father forgive your trespasses. Matt. vi. 15. 2. Any voluntary transgression of the moral law; any violation of a known rule of duty; sin. The fatal trespass done by Eve. Milton. You . . . who were dead in trespasses and sins. Eph. if. 1. 3. (Law) (a) An unlawful act committed with force and violence (vi et armis) on the person, property, or relative rights of another. (b) An action for injuries accompanied with force. Trespass offering (Jewish Antiq.), an offering in expiation of a trespass. -- Trespass on the case. (Law) See Action on the case, under Case. Syn. -- Offense; breach; infringement; transgression; misdemeanor; misdeed.
amicableness |The quality of being amicable; amicability.
amicably |In an amicable manner.
amice |A square of white linen worn at first on the head, but now about the neck and shoulders, by priests of the Roman Catholic Church while saying Mass.\n\nA hood, or cape with a hood, made of lined with gray fur, formerly worn by the clergy; -- written also amess, amyss, and almuce.
amid |See Amidst.\n\nIn the midst or middle of; surrounded or encompassed by; among. \"This fair tree amidst the garden.\" \"Unseen amid the throng.\" \"Amidst thick clouds.\" Milton. \"Amidst acclamations.\" \"Amidst the splendor and festivity of a court.\" Macaulay. But rather famish them amid their plenty. Shak. Syn. -- Amidst, Among. These words differ to some extent from each other, as will be seen from their etymology. Amidst denotes in the midst or middle of, and hence surrounded by; as, this work was written amidst many interruptions. Among denotes a mingling or intermixing with distinct or separable objects; as, \"He fell among thieves.\" \"Blessed art thou among women.\" Hence, we say, among the moderns, among the ancients, among the thickest of trees, among these considerations, among the reasons I have to offer. Amid and amidst are commonly used when the idea of separate or distinguishable objects is not prominent. Hence, we say, they kept on amidst the storm, amidst the gloom, he was sinking amidst the waves, he persevered amidst many difficulties; in none of which cases could among be used. In like manner, Milton speaks of Abdiel, -- The seraph Abdiel, faithful found; Among the faithless faithful only he, because he was then considered as one of the angels. But when the poet adds, -- From amidst them forth he passed, we have rather the idea of the angels as a collective body. Those squalid cabins and uncleared woods amidst which he was born. Macaulay.
amide |A compound formed by the union of amidogen with an acid element or radical. It may also be regarded as ammonia in which one or more hydrogen atoms have been replaced by an acid atom or radical. Acid amide, a neutral compound formed by the substitution of the amido group for hydroxyl in an acid.
amidin |Start modified by heat so as to become a transparent mass, like horn. It is soluble in cold water.
amido |Containing, or derived from, amidogen. Amido acid, an acid in which a portion of the nonacid hydrogen has been replaced by the amido group. The amido acids are both basic and acid. -- Amido group, amidogen, NH2.
amidogen |A compound radical, NH2, not yet obtained in a separate state, which may be regarded as ammonia from the molecule of which one of its hydrogen atoms has been removed; -- called also the amido group, and in composition represented by the form amido.
amidol |A salt of a diamino phenol, C6H3(OH)(NH2)2, used as a developer.
amidships |In the middle of a ship, with regard to her length, and sometimes also her breadth. Totten.
amidst |In the midst or middle of; surrounded or encompassed by; among. \"This fair tree amidst the garden.\" \"Unseen amid the throng.\" \"Amidst thick clouds.\" Milton. \"Amidst acclamations.\" \"Amidst the splendor and festivity of a court.\" Macaulay. But rather famish them amid their plenty. Shak. Syn. -- Amidst, Among. These words differ to some extent from each other, as will be seen from their etymology. Amidst denotes in the midst or middle of, and hence surrounded by; as, this work was written amidst many interruptions. Among denotes a mingling or intermixing with distinct or separable objects; as, \"He fell among thieves.\" \"Blessed art thou among women.\" Hence, we say, among the moderns, among the ancients, among the thickest of trees, among these considerations, among the reasons I have to offer. Amid and amidst are commonly used when the idea of separate or distinguishable objects is not prominent. Hence, we say, they kept on amidst the storm, amidst the gloom, he was sinking amidst the waves, he persevered amidst many difficulties; in none of which cases could among be used. In like manner, Milton speaks of Abdiel, -- The seraph Abdiel, faithful found; Among the faithless faithful only he, because he was then considered as one of the angels. But when the poet adds, -- From amidst them forth he passed, we have rather the idea of the angels as a collective body. Those squalid cabins and uncleared woods amidst which he was born. Macaulay.
amigo |A friend; -- a Spanish term applied in the Philippine Islands to friendly natives.
amine |One of a class of strongly basic substances derived from ammonia by replacement of one or more hydrogen atoms by a basic atom or radical.
aminol |A colorless liquid prepared from herring brine and containing amines, used as a local antiseptic.
amioid |Like or pertaining to the Amioidei. -- n.  One of the Amioidei.
amioidei |An order of ganoid fishes of which Amis is type. See Bowfin and Ganoidei.
amir |1. Emir. [Obs.] 2. One of the Mohammedan nobility of Afghanistan and Scinde.\n\nSame as Ameer.
amish |The Amish Mennonites.\n\nOf, pertaining to, or designating, the followers of Jacob Amman, a strict Mennonite of the 17th century, who even proscribed the use of buttons and shaving as \"worldly conformity\". There are several branches of Amish Mennonites in the United States.
amiss |Astray; faultily; improperly; wrongly; ill. What error drives our eyes and ears amiss Shak. Ye ask and receive not, because ye ask amiss. James iv. 3. To take (an act, thing) amiss, to impute a wrong motive to (an act or thing); to take offense at' to take unkindly; as, you must not take these questions amiss.\n\nWrong; faulty; out of order; improper; as, it may not be amiss to ask advice. Note: [Used only in the predicate.] Dryden. His wisdom and virtue can not always rectify that which is amiss in himself or his circumstances. Wollaston.\n\nA fault, wrong, or mistake. [Obs.] Each toy seems prologue to some great amiss. Shak.
amissibility |The quality of being amissible; possibility of being lost. [R.] Notions of popular rights and the amissibility of sovereign power for misconduct were alternately broached by the two great religious parties of Europe. Hallam.
amissible |Liable to be lost. [R.]
amission |Deprivation; loss. [Obs.] Sir T. Browne.
amit |To lose. [Obs.] A lodestone fired doth presently amit its proper virtue. Sir T. Browne.
amitosis |Cell division in which there is first a simple cleavage of the nucleus without change in its structure (such as the formation of chromosomes), followed by the division of the cytoplasm; direct cell division; -- opposed to mitosis. It is not the usual mode of division, and is believed by many to occur chiefly in highly specialized cells which are incapable of long-continued multiplication, in transitory structures, and in those in early stages of degeneration.
amitotic |Of or pertaining to amitosis; karyostenotic; -- opposed to mitotic.
amity |Friendship, in a general sense, between individuals, societies, or nations; friendly relations; good understanding; as, a treaty of amity and commerce; the amity of the Whigs and Tories. To live on terms of amity with vice. Cowper. Syn. -- Harmony; friendliness; friendship; affection; good will; peace.
amma |An abbes or spiritual mother.
ammeter |A contraction of amperometer or ampèremeter.
ammiral |An obsolete form of admiral. \"The mast of some great ammiral.\" Milton.
ammite |Oölite or roestone; -- written also hammite. [Obs.]
ammodyte |(a) One of a genus of fishes; the sand eel. (b) A kind of viper in southern Europe. [Obs.]
ammonal |An explosive consisting of a mixture of powdered aluminium and nitrate of ammonium.
ammonia |A gaseous compound of hydrogen and nitrogen, NH3, with a pungent smell and taste: -- often called volatile alkali, and spirits of hartshorn.
ammoniac |Of or pertaining to ammonia, or possessing its properties; as, an ammoniac salt; ammoniacal gas. Ammoniacal engine, an engine in which the vapor of ammonia is used as the motive force. -- Sal ammoniac Etym: [L. sal ammoniacus], the salt usually called chloride of ammonium, and formerly muriate of ammonia.\n\nThe concrete juice (gum resin) of an umbelliferous plant, the Dorema ammoniacum. It is brought chiefly from Persia in the form of yellowish tears, which occur singly, or are aggregated into masses. It has a peculiar smell, and a nauseous, sweet taste, followed by a bitter one. It is inflammable, partially soluble in water and in spirit of wine, and is used in medicine as an expectorant and resolvent, and for the formation of certain plasters.
ammoniacal |Of or pertaining to ammonia, or possessing its properties; as, an ammoniac salt; ammoniacal gas. Ammoniacal engine, an engine in which the vapor of ammonia is used as the motive force. -- Sal ammoniac Etym: [L. sal ammoniacus], the salt usually called chloride of ammonium, and formerly muriate of ammonia.
ammoniacal fermentation |Any fermentation process by which ammonia is formed, as that by which urea is converted into ammonium carbonate when urine is exposed to the air.
ammoniated |Combined or impregnated with ammonia.
ammonic |Of or pertaining to ammonia.
ammonite |A fossil cephalopod shell related to the nautilus. There are many genera and species, and all are extinct, the typical forms having existed only in the Mesozoic age, when they were exceedingly numerous. They differ from the nautili in having the margins of the septa very much lobed or plaited, and the siphuncle dorsal. Also called serpent stone, snake stone, and cornu Ammonis.
ammonitiferous |Containing fossil ammonites.
ammonitoidea |An extensive group of fossil cephalopods often very abundant in Mesozoic rocks. See Ammonite.
ammonium |A compound radical, NH4, having the chemical relations of a strongly basic element like the alkali metals.
ammunition |1. Military stores, or provisions of all kinds for attack or defense. [Obs.] 2. Articles used in charging firearms and ordnance of all kinds; as powder, balls, shot, shells, percussion caps, rockets, etc. 3. Any stock of missiles, literal or figurative. Ammunition bread, shoes, etc., such as are contracted for by government, and supplied to the soldiers. [Eng.]\n\nTo provide with ammunition.
amnesia |Forgetfulness; also, a defect of speech, from cerebral disease, in which the patient substitutes wrong words or names in the place of those he wishes to employ. Quian.
amnesic |Of or pertaining to amnesia. \"Amnesic or coördinate defects.\" Quian.
amnestic |Causing loss of memory.
amnesty |1. Forgetfulness; cessation of remembrance of wrong; oblivion. 2. An act of the sovereign power granting oblivion, or a general pardon, for a past offense, as to subjects concerned in an insurrection.\n\nTo grant amnesty to.
amnicolist |One who lives near a river. [Obs.] Bailey.
amnigenous |Born or bred in, of, or near a river. [Obs.] Bailey.
amnion |A thin membrane surrounding the embryos of mammals, birds, and reptiles.
amnios |Same as Amnion.
amniota |That group of vertebrates which develops in its embryonic life the envelope called the amnion. It comprises the reptiles, the birds, and the mammals.
amniotic |Of or pertaining to the amnion; characterized by an amnion; as, the amniotic fluid; the amniotic sac. Amniotic acid. (Chem.) [R.] See Allantoin.
amoeba |A rhizopod. common in fresh water, capable of undergoing many changes of form at will. See Rhizopoda.
amoebaeum |A poem in which persons are represented at speaking alternately; as the third and seventh eclogues of Virgil.
amoebea |That division of the Rhizopoda which includes the amoeba and similar forms.
amoebean |Alternately answering.
amoebian |One of the Amoebea.
amoebiform |Resembling an amoeba; amoeba-shaped; changing in shape like an amoeba. Amoeboid movement, movement produced, as in the amoeba, by successive processes of prolongation and retraction.
amoeboid |Resembling an amoeba; amoeba-shaped; changing in shape like an amoeba. Amoeboid movement, movement produced, as in the amoeba, by successive processes of prolongation and retraction.
amoebous |Like an amoeba in structure.
amole |Any detergent plant, or the part of it used as a detergent, as the roots of Agave Americana, Chlorogalum pomeridianum, etc. [Sp. Amer. & Mex.]
amolition |Removal; a putting away. [Obs.] Bp. Ward (1673).
amomum |A genus of aromatic plants. It includes species which bear cardamoms, and grains of paradise.
amoneste |To admonish. [Obs.]
among |1. Mixed or mingled; surrounded by. They heard, And from his presence hid themselves among The thickest trees. Milton. 2. Conjoined, or associated with, or making part of the number of; in the number or class of. Blessed art thou among women. Luke i. 28. 3. Expressing a relation of dispersion, distribution, etc.; also, a relation of reciprocal action. What news among the merchants Shak. Human sacrifices were practiced among them. Hume. Divide that gold amongst you. Marlowe. Whether they quarreled among themselves, or with their neighbors. Addison. Syn. -- Amidst; between. See Amidst, Between.
amongst |1. Mixed or mingled; surrounded by. They heard, And from his presence hid themselves among The thickest trees. Milton. 2. Conjoined, or associated with, or making part of the number of; in the number or class of. Blessed art thou among women. Luke i. 28. 3. Expressing a relation of dispersion, distribution, etc.; also, a relation of reciprocal action. What news among the merchants Shak. Human sacrifices were practiced among them. Hume. Divide that gold amongst you. Marlowe. Whether they quarreled among themselves, or with their neighbors. Addison. Syn. -- Amidst; between. See Amidst, Between.
amontillado |A dry kind of cherry, of a light color. Simmonds.
amoret |1. An amorous girl or woman; a wanton. [Obs.] J. Warton. 2. A love knot, love token, or love song. (pl.) Love glances or love tricks. [Obs.] 3. A petty love affair or amour. [Obs.]
amorette |An amoret. [Obs.] Rom. of R.
amorist |A lover; a gallant. [R.] Milton. It was the custom for an amorist to impress the name of his mistress in the dust, or upon the damp earth, with letters fixed upon his shoe. Southey.
amorosa |A wanton woman; a courtesan. Sir T. Herbert.
amorosity |The quality of being amorous; lovingness. [R.] Galt.
amoroso |A lover; a man enamored.\n\nIn a soft, tender, amatory style.
amorous |1. Inclined to love; having a propensity to love, or to sexual enjoyment; loving; fond; affectionate; as, an amorous disposition. 2. Affected with love; in love; enamored; -- usually with of; formerly with on. Thy roses amorous of the moon. Keats. High nature amorous of the good. Tennyson. Sure my brother is amorous on Hero. Shak. 3. Of or relating to, or produced by, love. \"Amorous delight.\" Milton. \"Amorous airs.\" Waller. Syn. -- Loving; fond; tender; passionate; affectionate; devoted; ardent.
amorously |In an amorous manner; fondly.
amorousness |The quality of being amorous, or inclined to sexual love; lovingness.
amorpha |A genus of leguminous shrubs, having long clusters of purple flowers; false or bastard indigo. Longfellow.
amorphism |A state of being amorphous; esp. a state of being without crystallization even in the minutest particles, as in glass, opal, etc. Note: There are stony substances which, when fused, may cool as glass or as stone; the glass state is spoken of as a state of amorphism.
amorphous |1. Having no determinate form; of irregular; shapeless. Kirwan. 2. Without crystallization in the ultimate texture of a solid substance; uncrystallized. 3. Of no particular kind or character; anomalous. Scientific treatises . . . are not seldom rude and amorphous in style. Hare. -- A*mor\"phous*ly, adv. -- A*mor\"phous*ness, n.
amorphozoa |Animals without a mouth or regular internal organs, as the sponges.
amorphozoic |Of or pertaining to the Amorphozoa.
amorphy |Shapelessness. [Obs.] Swift.
amort |As if dead; lifeless; spiritless; dejected; depressed. Shak.
amortisable |Same as Amortize, Amortization, etc.
amortisation |Same as Amortize, Amortization, etc.
amortise |Same as Amortize, Amortization, etc.
amortisement |Same as Amortize, Amortization, etc.
amortizable |Capable of being cleared off, as a debt.
amortization |1. (Law)  The act or right of alienating lands to a corporation, which was considered formerly as transferring them to dead hands, or in mortmain. 2. The extinction of a debt, usually by means of a sinking fund; also, the money thus paid. Simmonds.
amortize |1. To make as if dead; to destroy. [Obs.] Chaucer. 2. (Law)  To alienate in mortmain, that is, to convey to a corporation. See Mortmain. 3. To clear off or extinguish, as a debt, usually by means of a sinking fund.
amortizement |Same as Amortization.
amorwe |1. In the morning. [Obs.] Chaucer. 2. On the following morning. [Obs.] Chaucer.
amotion |1. Removal; ousting; especially, the removal of a corporate officer from his office. 2. Deprivation of possession.
amotus |Elevated, -- as a toe, when raised so high that the tip does not touch the ground.
amount |1. To go up; to ascend. [Obs.] So up he rose, and thence amounted straight. Spenser. 2. To rise or reach by an accumulation of particular sums or quantities; to come (to) in the aggregate or whole; -- with to or unto. 3. To rise, reach, or extend in effect, substance, or influence; to be equivalent; to come practically (to); as, the testimony amounts to very little.\n\nTo signify; to amount to. [Obs.]\n\n1. The sum total of two or more sums or quantities; the aggregate; the whole quantity; a totality; as, the amount of 7 and 9 is 16; the amount of a bill; the amount of this year's revenue. 2. The effect, substance, value, significance, or result; the sum; as, the amount of the testimony is this. The whole amount of that enormous fame. Pope.
amour |1. Love; affection. [Obs.] 2. Love making; a love affair; usually, an unlawful connection in love; a love intrigue; an illicit love affair. In amours with, in love with. [Obs.]
amour propre |Self-love; self-esteem.
amovability |Liability to be removed or dismissed from office. [R.] T. Jefferson.
amovable |Removable.
amove |1. To remove, as a person or thing, from a position. [Obs.] Dr. H. More. 2. (Law)  To dismiss from an office or station.\n\nTo move or be moved; to excite. [Obs.] Spenser.
ampelite |An earth abounding in pyrites, used by the ancients to kill insects, etc., on vines; -- applied by Brongniart to a carbonaceous alum schist.
ampelopsis |A genus formerly including the Virginia creeper.
amperage |The strength of a current of electricity carried by a conductor or generated by a machine, measured in ampères.
ampere |The unit of electric current; -- defined by the International Electrical Congress in 1893 and by U. S. Statute as, one tenth of the unit of current of the C. G. S. system of electro-magnetic units, or the practical equivalent of the unvarying current which, when passed through a standard solution of nitrate of silver in water, deposits silver at the rate of 0.001118 grams per second. Called also the international ampère.\n\nThe unit of electric current; -- defined by the International Electrical Congress in 1893 and by U. S. Statute as, one tenth of the unit of current of the C. G. S. system of electro-magnetic units, or the practical equivalent of the unvarying current which, when passed through a standard solution of nitrate of silver in water, deposits silver at the rate of 0.001118 grams per second. Called also the international ampère.
ampere foot |A unit, employed in calculating fall of pressure in distributing mains, equivalent to a current of one ampère flowing through one foot of conductor.
ampere hour |The quantity of electricity delivered in one hour by a current whose average strength is one ampère. It is used as a unit of quantity, and is equal to 3600 coulombs. The terms Ampère minute and Ampère second are sometimes similarly used.
ampere minute |The quantity of electricity delivered in one hour by a current whose average strength is one ampère. It is used as a unit of quantity, and is equal to 3600 coulombs. The terms Ampère minute and Ampère second are sometimes similarly used.
ampere second |The quantity of electricity delivered in one hour by a current whose average strength is one ampère. It is used as a unit of quantity, and is equal to 3600 coulombs. The terms Ampère minute and Ampère second are sometimes similarly used.
ampere turn |A unit equal to the product of one complete convolution (of a coiled conductor) into one ampère of current; thus, a conductor having five convolutions and carrying a current of half an ampère is said to have 2½ ampère turns. The magnetizing effect of a coil is proportional to the number of its ampère turns.
amperemeter |An instrument for measuring the strength of an electrical current in ampères.
amperometer |An instrument for measuring the strength of an electrical current in ampères.
ampersand |A word used to describe the character Halliwell.
amphi- |A prefix in words of Greek origin, signifying both, of both kinds, on both sides, about, around.
amphiarthrodial |Characterized by amphiarthrosis.
amphiarthrosis |A form of articulation in which the bones are connected by intervening substance admitting slight motion; symphysis.
amphiaster |The achromatic figure, formed in mitotic cell-division, consisting of two asters connected by a spindle-shaped bundle of rodlike fibers diverging from each aster, and called the spindle.
amphibia |One of the classes of vertebrates. Note: The Amphibia are distinguished by having usually no scales, by having eggs and embryos similar to those of fishes, and by undergoing a complete metamorphosis, the young having gills. There are three living orders: (1) The tailless, as the frogs (Anura); (2) The tailed (Urodela), as the salamanders, and the siren group (Sirenoidea), which retain the gills of the young state (hence called Perennibranchiata) through the adult state, among which are the siren, proteus, etc.; (3) The Coecilians, or serpentlike Amphibia (Ophiomorpha or Gymnophiona), with minute scales and without limbs. The extinct Labyrinthodonts also belonged to this class. The term is sometimes loosely applied to both reptiles and amphibians collectively.
amphibial |Amphibian. [R.]
amphibian |Of or pertaining to the Amphibia; as, amphibian reptiles.\n\nOne of the Amphibia.
amphibiological |Pertaining to amphibiology.
amphibiology |A treatise on amphibious animals; the department of natural history which treats of the Amphibia.
amphibiotica |A division of insects having aquatic larvæ.
amphibious |1. Having the ability to live both on land and in water, as frogs, crocodiles, beavers, and some plants. 2. Pertaining to, adapted for, or connected with, both land and water. The amphibious character of the Greeks was already determined: they were to be lords of land and sea. Hare. 3. Of a mixed nature; partaking of two natures. Not in free and common socage, but in this amphibious subordinate class of villein socage. Blackstone.
amphibiously |Like an amphibious being.
amphibium |An amphibian.
amphiblastic |Segmenting unequally; -- said of telolecithal ova with complete segmentation.
amphibole |A common mineral embracing many varieties varying in color and in composition. It occurs in monoclinic crystals; also massive, generally with fibrous or columnar structure. The color varies from white to gray, green, brown, and black. It is a silicate of magnesium and calcium, with usually aluminium and iron. Some common varieties are tremolite, actinolite, asbestus, edenite, hornblende (the last name being also used as a general term for the whole species). Amphibole is a constituent of many crystalline rocks, as syenite, diorite, most varieties of trachyte, etc. See Hornblende.
amphibolic |1. Of or pertaining to amphiboly; ambiguous; equivocal. 2. Of or resembling the mineral amphibole.
amphibological |Of doubtful meaning; ambiguous. \"Amphibological expressions.\" Jer. Taylor. -- Am*phib`o*log\"ic*al*ly, adv.
amphibology |A phrase, discourse, or proposition, susceptible of two interpretations; and hence, of uncertain meaning. It differs from equivocation, which arises from the twofold sense of a single term.
amphibolous |1. Ambiguous; doubtful. [Obs.] Never was there such an amphibolous quarrel -- both parties declaring themselves for the king. Howell. 2. (Logic)  Capable of two meanings. An amphibolous sentence is one that is capable of two meanings, not from the double sense of any of the words, but from its admitting of a double construction; e. g., \"The duke yet lives that Henry shall depose.\" Whately.
amphiboly |Ambiguous discourse; amphibology. If it oracle contrary to our interest or humor, we will create an amphiboly, a double meaning where there is none. Whitlock.
amphibrach |A foot of three syllables, the middle one long, the first and last short (as, h. In modern prosody the accented syllable takes the place of the long and the unaccented of the short; as, pro-phet''ic.
amphicarpic |Producing fruit of two kinds, either as to form or time of ripening.
amphicarpous |Producing fruit of two kinds, either as to form or time of ripening.
amphichroic |Exhibiting or producing two colors, as substances which in the color test may change red litmus to blue and blue litmus to red.
amphicoelian |Having both ends concave; biconcave; -- said of vertebræ.
amphicoelous |Having both ends concave; biconcave; -- said of vertebræ.
amphicome |A kind of figured stone, rugged and beset with eminences, anciently used in divination. [Obs.] Encyc. Brit.
amphictyonic |Of or pertaining to the Amphictyons or their League or Council; as, an Amphictyonic town or state; the Amphictyonic body. W. Smith.
amphictyons |Deputies from the confederated states of ancient Greece to a congress or council. They considered both political and religious matters.
amphictyony |A league of states of ancient Greece; esp. the celebrated confederation known as the Amphictyonic Council. Its object was to maintain the common interests of Greece.
amphid |A salt of the class formed by the combination of an acid and a base, or by the union of two oxides, two sulphides, selenides, or tellurides, as distinguished from a haloid compound. [R.] Berzelius.
amphidisc |A peculiar small siliceous spicule having a denticulated wheel at each end; -- found in freshwater sponges.
amphidromical |Pertaining to an Attic festival at the naming of a child; -- so called because the friends of the parents carried the child around the hearth and then named it.
amphigamous |Having a structure entirely cellular, and no distinct sexual organs; -- a term applied by De Candolle to the lowest order of plants.
amphigean |Extending over all the zones, from the tropics to the polar zones inclusive.
amphigen |An element that in combination produces amphid salt; -- applied by Berzelius to oxygen, sulphur, selenium, and tellurium. [R.]
amphigene |Leucite.
amphigenesis |Sexual generation; amphigony.
amphigenous |Increasing in size by growth on all sides, as the lichens.
amphigonic |Pertaining to amphigony; sexual; as, amphigonic propagation. [R.]
amphigonous |Relating to both parents. [R.]
amphigony |Sexual propagation. [R.]
amphigoric |Nonsensical; absurd; pertaining to an amphigory.
amphigory |A nonsense verse; a rigmarole, with apparent meaning, which on further attention proves to be meaningless. [Written also amphigouri.]
amphilogism |Ambiguity of speech; equivocation. [R.]
amphilogy |Ambiguity of speech; equivocation. [R.]
amphimacer |A foot of three syllables, the middle one short and the others long, as in cast. Andrews.
amphineura |A division of Mollusca remarkable for the bilateral symmetry of the organs and the arrangement of the nerves.
amphioxus |A fishlike creature (Amphioxus lanceolatus), two or three inches long, found in temperature seas; -- also called the lancelet. Its body is pointed at both ends. It is the lowest and most generalized of the vertebrates, having neither brain, skull, vertebræ, nor red blood. It forms the type of the group Acrania, Leptocardia, etc.
amphipneust |One of a tribe of Amphibia, which have both lungs and gills at the same time, as the proteus and siren.
amphipod |One of the Amphipoda.\n\nOf or pertaining to the Amphipoda.
amphipoda |A numerous group of fourteen -- footed Crustacea, inhabiting both fresh and salt water. The body is usually compressed laterally, and the anterior pairs or legs are directed downward and forward, but the posterior legs are usually turned upward and backward. The beach flea is an example. See Tetradecapoda and Arthrostraca.
amphipodan |Of or pertaining to the Amphipoda.
amphipodous |Of or pertaining to the Amphipoda.
amphiprostyle |Doubly prostyle; having columns at each end, but not at the sides. -- n.  An amphiprostyle temple or edifice.
amphirhina |A name applied to the elasmobranch fishes, because the nasal sac is double.
amphisbaena |1. A fabled serpent with a head at each end, moving either way. Milton. 2. (Zoöl.)  A genus of harmless lizards, serpentlike in form, without legs, and with both ends so much alike that they appear to have a head at each, and ability to move either way. See Illustration in Appendix. Note: The Gordius aquaticus, or hairworm, has been called an amphisbæna; but it belongs among the worms.
amphisbaenoid |Like or pertaining to the lizards of the genus Amphisbæna.
amphiscii |The inhabitants of the tropic, whose shadows in one part of the year are cast to the north, and in the other to the south, according as the sun is south or north of their zenith.
amphistomous |Having a sucker at each extremity, as certain entozoa, by means of which they adhere.
amphistylic |Having the mandibular arch articulated with the hyoid arch and the cranium, as in the cestraciont sharks; -- said of a skull.
amphitheater |1. An oval or circular building with rising tiers of seats about an open space called the arena. Note: The Romans first constructed amphitheaters for combats of gladiators and wild beasts. 2. Anything resembling an amphitheater in form; as, a level surrounded by rising slopes or hills, or a rising gallery in a theater.
amphitheatral |Amphitheatrical; resembling an amphitheater.
amphitheatre |1. An oval or circular building with rising tiers of seats about an open space called the arena. Note: The Romans first constructed amphitheaters for combats of gladiators and wild beasts. 2. Anything resembling an amphitheater in form; as, a level surrounded by rising slopes or hills, or a rising gallery in a theater.
amphitheatric |Of, pertaining to, exhibited in, or resembling, an amphitheater.
amphitheatrical |Of, pertaining to, exhibited in, or resembling, an amphitheater.
amphitheatrically |In the form or manner of an amphitheater.
amphitrocha |A kind of annelid larva having both a dorsal and a ventral circle of special cilia.
amphitropal |Having the ovule inverted, but with the attachment near the middle of one side; half anatropous.
amphitropous |Having the ovule inverted, but with the attachment near the middle of one side; half anatropous.
amphiuma |A genus of amphibians, inhabiting the Southern United States, having a serpentlike form, but with four minute limbs and two persistent gill openings; the Congo snake.
amphopeptone |A product of gastric digestion, a mixture of hemipeptone and antipeptone.
amphora |Among the ancients, a two-handled vessel, tapering at the bottom, used for holding wine, oil, etc.
amphoral |Pertaining to, or resembling, an amphora.
amphoric |Produced by, or indicating, a cavity in the lungs, not filled, and giving a sound like that produced by blowing into an empty decanter; as, amphoric respiration or resonance.
amphoteric |Partly one and partly the other; neither acid nor alkaline; neutral. [R.] Smart.
