hogpen |A pen or sty for hogs.
home |See Homelyn.\n\n1. One's own dwelling place; the house in which one lives; esp., the house in which one lives with his family; the habitual abode of one's family; also, one's birthplace. The disciples went away again to their own home. John xx. 10. Home is the sacred refuge of our life. Dryden. Home! home! sweet, sweet home! There's no place like home. Payne. 2. One's native land; the place or country in which one dwells; the place where one's ancestors dwell or dwelt. \"Our old home [England].\" Hawthorne. 3. The abiding place of the affections, especially of the domestic affections. He entered in his house -- his home no more, For without hearts there is no home. Byron. 4. The locality where a thing is usually found, or was first found, or where it is naturally abundant; habitat; seat; as, the home of the pine. Her eyes are homes of silent prayer. Tennyson. Flandria, by plenty made the home of war. Prior. 5. A place of refuge and rest; an asylum; as, a home for outcasts; a home for the blind; hence, esp., the grave; the final rest; also, the native and eternal dwelling place of the soul. Man goeth to his long home, and the mourners go about the streets. Eccl. xii. 5. 6. (Baseball)  The home base; he started for home. At home.(a) At one's own house, or lodgings. (b) In one's own town or country; as, peace abroad and at home. (c) Prepared to receive callers. -- Home department, the department of executive administration, by which the internal affairs of a country are managed. [Eng.] To be at home on any subject, to be conversant or familiar with it. -- To feel at home, to be at one's ease. -- To make one's self at home, to conduct one's self with as much freedom as if at home. Syn. -- Tenement; house; dwelling; abode; domicile.\n\n1. Of or pertaining to one's dwelling or country; domestic; not foreign; as home manufactures; home comforts. 2. Close; personal; pointed; as, a home thrust. Home base (Baseball), the base at which the batsman stands and which is the last goal in making a run. -- Home farm, grounds, etc., the farm, grounds, etc., adjacent to the residence of the owner. -- Home lot, an inclosed plot on which the owner's home stands. [U. S.] -- Home rule, rule or government of an appendent or dependent country, as to all local and internal legislation, by means of a governing power vested in the people within the country itself, in contradistinction to a government established by the dominant country; as, home rule in Ireland. Also used adjectively; as, home- rule members of Parliament. -- Home ruler, one who favors or advocates home rule. -- Home run (Baseball), a complete circuit of the bases made before the batted ball is returned to the home base. -- Home stretch (Sport.), that part of a race course between the last curve and the winning post. -- Home thrust, a well directed or effective thrust; one that wounds in a vital part; hence, in controversy, a personal attack.\n\n1. To one's home or country; as in the phrases, go home, come home, carry home. 2. Close; closely. How home the charge reaches us, has been made out. South. They come home to men's business and bosoms. Bacon. 3. To the place where it belongs; to the end of a course; to the full length; as, to drive a nail home; to ram a cartridge home. Wear thy good rapier bare and put it home. Shak. Note: Home is often used in the formation of compound words, many of which need no special definition; as, home-brewed, home-built, home- grown, etc. To bring home. See under Bring. -- To come home.(a) To touch or affect personally. See under Come. (b) (Naut.) To drag toward the vessel, instead of holding firm, as the cable is shortened; -- said of an anchor. -- To haul home the sheets of a sail (Naut.), to haul the clews close to the sheave hole. Totten.
home-bound |Kept at home.
home-bred |1. Bred at home; domestic; not foreign. \" Home-bred mischief.\" Milton. Benignity and home-bred sense. Wordsworth. 2. Not polished; rude; uncultivated. Only to me home-bred youths belong. Dryden.
home-coming |Return home. Kepeth this child, al be it foul or fayr, And eek my wyf, unto myn hoom-cominge. Chaucer.
home-driven |Driven to the end, as a nail; driven close.
home-dwelling |Keeping at home.
home-felt |Felt in one's own breast; inward; private. \"Home-felt quiet. Pope.
home-keeping |Staying at home; not gadding. Home-keeping youth have ever homely wits. Shak.\n\nA staying at home.
home-speaking |Direct, forcible, and effective speaking. Milton.
homeborn |1. Native; indigenous; not foreign. Donne. Pope. 2. Of or pertaining to the home or family. Fireside enjoyments, homeborn happiness. Cowper.
homefield |Afield adjacent to its owner's home. Hawthorne.
homeless |Destitute of a home. -- Home\"less*ness, n.
homelike |Like a home; comfortable; cheerful; cozy; friendly.
homelily |Plainly; inelegantly. [R.]
homeliness |1. Domesticity; care of home. [Obs.] \"Wifely homeliness.\" Chaucer. 2. Familiarity; intimacy. [Obs.] Chaucer. 3. Plainness; want of elegance or beauty. 4. Coarseness; simplicity; want of refinement; as, the homeliness of manners, or language. Addison.
homeling |A person or thing belonging to a home or to a particular country; a native; as, a word which is a homeling. Trench.
homely |1. Belonging to, or having the characteristics of, home; domestic; familiar; intimate. [Archaic] With all these men I was right homely, and communed with, them long and oft. Foxe. Their homely joys, and destiny obscure. Gray. 2. Plain; unpretending; rude in appearance; unpolished; as, a homely garment; a homely house; homely fare; homely manners. Now Strephon daily entertains His Chloe in the homeliest strains. Pope. 3. Of plain or coarse features; uncomely; -- contrary to handsome. None so homely but loves a looking-glass. South.\n\nPlainly; rudely; coarsely; as, homely dressed. [R.] Spenser.
homelyn |The European sand ray (Raia maculata); -- called also home, mirror ray, and rough ray.
homemade |Made at home; of domestic manufacture; made either in a private family or in one's own country. Locke.
homeopath |A practitioner of homeopathy. [Written also homoeopath.]
homeopathic |Of or pertaining to homeopathy; according to the principles of homeopathy. [Also homoepathic.]
homeopathically |According to the practice of homeopathy. [Also homoepathically.]
homeopathist |A believer in, or practitioner of, homeopathy. [Written also homoepathist.]
homeopathy |The art of curing, founded on resemblances; the theory and its practice that disease is cured (tuto, cito, et jucunde) by remedies which produce on a healthy person effects similar to the symptoms of the complaint under which the patient suffers, the remedies being usually administered in minute doses. This system was founded by Dr. Samuel Hahnemann, and is opposed to allopathy, or heteropathy. [Written also homoepathy.]
homer |A carrier pigeon remarkable for its ability to return home from a distance.\n\nSee Hoemother.\n\nA Hebrew measure containing, as a liquid measure, ten baths, equivalent to fifty-five gallons, two quarts, one pint; and, as a dry measure, ten ephahs, equivalent to six bushels, two pecks, four quarts. [Written also chomer, gomer.]
homeric |Of or pertaining to Homer, the most famous of Greek poets; resembling the poetry of Homer. Homeric verse, hexameter verse; -- so called because used by Homer in his epics.
homesick |Pining for home; in a nostalgic condition. -- Home\"sick`ness, n.
homespun |1. Spun or wrought at home; of domestic manufacture; coarse; plain. \"Homespun country garbs.\" W. Irving. 2. Plain in manner or style; not elegant; rude; coarse. \"Our homespun English proverb.\" Dryden. \"Our homespun authors.\" Addison.\n\n1. Cloth made at home; as, he was dressed in homespun. 2. An unpolished, rustic person. [Obs.] Shak.
homestall |Place of a home; homestead. Cowper.
homestead |1. The home place; a home and the inclosure or ground immediately connected with it. Dryden. 2. The home or seat of a family; place of origin. We can trace them back to a homestead on the Rivers Volga and Ural. W. Tooke. 3. (Law)  The home and appurtenant land and buildings owned by the head of a family, and occupied by him and his family. Homestead law. (a) A law conferring special privileges or exemptions upon owners of homesteads; esp., a law exempting a homestead from attachment or sale under execution for general debts. Such laws, with limitations as to the extent or value of the property, exist in most of the States. Called also homestead exemption law. (b) Also, a designation of an Act of Congress authorizing and regulating the sale of public lands, in parcels of 160 acres each, to actual settlers. [U.S.]
homesteader |One who has entered upon a portion of the public land with the purpose of acquiring ownership of it under provisions of the homestead law, so called; one who has acquired a homestead in this manner. [Local, U.S.]
homeward |Being in the direction of home; as, the homeward way.\n\nToward home; in the direction of one's house, town, or country. Homeward bound, bound for home; going homeward; as, the homeward bound fleet.
homewards |Toward home; in the direction of one's house, town, or country. Homeward bound, bound for home; going homeward; as, the homeward bound fleet.
homicidal |Pertaining to homicide; tending to homicide; murderous.
homicide |1. The killing of one human being by another. Note: Homicide is of three kinds: justifiable, as when the killing is performed in the exercise of a right or performance of a duty; excusable, as when done, although not as duty or right, yet without culpable or criminal intent; and felonious, or involving what the law terms malice; the latter may be either manslaughter or murder. Bouvier. 2. One who kills another; a manslayer. Chaucer. Shak.
homiform |In human form. [Obs.] Cudworth.
homilete |A homilist.
homiletic |1. Of or pertaining to familiar intercourse; social; affable; conversable; companionable. [R.] His virtues active, chiefly, and homiletical, not those lazy, sullen ones of the cloister. Atterbury. 2. Of or pertaining to homiletics; hortatory.
homiletical |1. Of or pertaining to familiar intercourse; social; affable; conversable; companionable. [R.] His virtues active, chiefly, and homiletical, not those lazy, sullen ones of the cloister. Atterbury. 2. Of or pertaining to homiletics; hortatory.
homiletics |The art of preaching; that branch of theology which treats of homilies or sermons, and the best method of preparing and delivering them.
homilist |One who prepares homilies; one who preaches to a congregation.
homilite |A borosilicate of iron and lime, near datolite in form and composition.
homily |1. A discourse or sermon read or pronounced to an audience; a serious discourse. Shak. 2. A serious or tedious exhortation in private on some moral point, or on the conduct of life. As I have heard my father Deal out in his long homilies. Byron. Book of Homilies. A collection of authorized, printed sermons, to be read by ministers in churches, esp. one issued in the time of Edward VI., and a second, issued in the reign of Elizabeth; -- both books being certified to contain a \"godly and wholesome doctrine.\",
  "classific |Characterizing a class or classes; relating to classification.
homing |Home-returning; -- used specifically of carrier pigeons.
hominy |Maize hulled and broken, and prepared for food by being boiled in water. [U.S.] [Written also homony.]
homish |Like a home or a home circle. Quiet, cheerful, homish hospital life. E. E. Hale.
hommock |A small eminence of a conical form, of land or of ice; a knoll; a hillock. See Hummock. Bartram.
hommocky |Filled with hommocks; piled in the form of hommocks; -- said of ice.
homo- |A combining form from Gr. \"omo`s, one and the same, common, joint.
homocategoric |Belonging to the same category of individuality; -- a morphological term applied to organisms so related.
homocentric |Having the same center.
homocercal |Having the tail nearly or quite symmetrical, the vertebral column terminating near its base; -- opposed to heterocercal.
homocercy |The possession of a homocercal tail.
homocerebrin |A body similar to, or identical with, cerebrin.
homochromous |Having all the florets in the same flower head of the same color.
homodemic |A morphological term signifying development, in the case of multicellular organisms, from the same unit deme or unit of the inferior orders of individuality.
homodermic |Relating to homodermy; originating from the same germ layer.
homodermy |Homology of the germinal layers.
homodont |Having all the teeth similar in front, as in the porpoises; -- opposed to heterodont.
homodromal |1. (Bot.)  Running in the same direction; -- said of stems twining round a support, or of the spiral succession of leaves on stems and their branches. 2. (Mech.)  Moving in the same direction; -- said of a lever or pulley in which the resistance and the actuating force are both on the same side of the fulcrum or axis.
homodromous |1. (Bot.)  Running in the same direction; -- said of stems twining round a support, or of the spiral succession of leaves on stems and their branches. 2. (Mech.)  Moving in the same direction; -- said of a lever or pulley in which the resistance and the actuating force are both on the same side of the fulcrum or axis.
homodynamic |Homodynamous. Quain.
homodynamous |Pertaining to, or involving, homodynamy; as, successive or homodynamous parts in plants and animals.
homodynamy |The homology of metameres. See Metamere. Gegenbaur.
homoeomeria |The state or quality of being homogeneous in elements or first principles; likeness or identity of parts.
homoeomeric |Pertaining to, or characterized by, sameness of parts; receiving or advocating the doctrine of homogeneity of elements or first principles.
homoeomerical |Pertaining to, or characterized by, sameness of parts; receiving or advocating the doctrine of homogeneity of elements or first principles.
homoeomerous |Having the main artery of the leg parallel with the sciatic nerve; -- said of certain birds.
homoeomery |Same as Homoeomeria. [Obs.] Cudworth.
homoeomorphism |A near similarity of crystalline forms between unlike chemical compounds. See Isomorphism.
homoeomorphous |Manifesting homoeomorphism.
homoeopathic |Same as Homeopathic, Homeopathist, Homeopathy.
homoeopathist |Same as Homeopathic, Homeopathist, Homeopathy.
homoeopathy |Same as Homeopathic, Homeopathist, Homeopathy.
homoeothermal |See Homoiothermal.
homoeozoic |Pertaining to, or including, similar forms or kinds of life; as, homoeozoic belts on the earth's surface. E. Forbes.
homogamous |Having all the flowers alike; -- said of such composite plants as Eupatorium, and the thistels.
homogamy |The condition of being homogamous.
homogangliate |Having the ganglia of the nervous system symmetrically arranged, as in certain invertebrates; -- opposed to heterogangliate.
homogene |Homogeneous. [Obs.] B. Jonson.
homogeneal |Homogeneous.
homogenealness |Homogeneousness.
homogeneity |Same as Homogeneousness.
homogeneous |1. Of the same kind of nature; consisting of similar parts, or of elements of the like nature; -- opposed to heterogeneous; as, homogeneous particles, elements, or principles; homogeneous bodies. 2. (Alg.)  Possessing the same number of factors of a given kind; as, a homogeneous polynomial.
homogeneousness |Sameness 9kind or nature; uniformity of structure or material.
homogenesis |That method of reproduction in which the successive generations are alike, the offspring, either animal or plant, running through the same cycle of existence as the parent; gamogenesis; -- opposed to heterogenesis.
homogenetic |Homogenous; -- applied to that class of homologies which arise from similarity of structure, and which are taken as evidences of common ancestry.
homogenous |Having a resemblance in structure, due to descent from a common progenitor with subsequent modification; homogenetic; -- applied both to animals and plants. See Homoplastic.
homogeny |1. Joint nature. [Obs.] Bacon. 2. (Biol.)  The correspondence of common descent; -- a term used to supersede homology by Lankester, who also used homoplasy to denote any superinduced correspondence of position and structure in parts embryonically distinct (other writers using the term homoplasmy). Thus, there is homogeny between the fore limb of a mammal and the wing of a bird; but the right and left ventricles of the heart in both are only in homoplasy with each other, these having arisen independently since the divergence of both groups from a univentricular ancestor.
homogonous |Having all the flowers of a plant alike in respect to the stamens and pistils.
homogony |The condition of having homogonous flowers.
homograph |One of two or more words identical in orthography, but having different derivations and meanings; as, fair, n., a market, and fair, a., beautiful.
homographic |1. Employing a single and separate character to represent each sound; -- said of certain methods of spelling words. 2. (Geom.)  Possessing the property of homography.
homography |1. That method of spelling in which every sound is represented by a single character, which indicates that sound and no other. 2. (Geom.)  A relation between two figures, such that to any point of the one corresponds one and but one point in the other, and vise versa. Thus, a tangent line rolling on a circle cuts two fixed tangents of the circle in two sets of points that are homographic.
homoioptoton |A figure in which the several parts of a sentence end with the same case, or inflection generally.
homoiothermal |Maintaining a uniform temperature; hæmatothermal; homothermic; -- applied to warm-bodied animals, because they maintain a nearly uniform temperature in spite of the great variations in the surrounding air; in distinct from the cold-blooded (poikilothermal) animals, whose body temperature follows the variations in temperature of the surrounding medium.
homoiousian |One of the semi-Arians of the 4th century, who held that the Son was of like, but not the same, essence or substance with the Father; -- opposed to homoousian.\n\nOf or pertaining to Homoiousians, or their belief.
homologate |To approve; to allow; to confirm; as, the court homologates a proceeding. Wheaton.
homologation |Confirmation or ratification (as of something otherwise null and void), by a court or a grantor.
homological |Pertaining to homology; having a structural affinity proceeding from, or base upon, that kind of relation termed homology. -- Ho`mo*log\"ic*al*ly, adv.
homologinic |Pertaining to, or characterized by, homology; as, homologinic qualities, or differences.
homologize |To determine the homologies or structural relations of.
homologon |See Homologue.
homologoumena |Those books of the New Testament which were acknowledged as canonical by the early church; -- distinguished from antilegomena.
homologous |Having the same relative position, proportion, value, or structure. Especially: (a) (Geom.) Corresponding in relative position and proportion. In similar polygons, the corresponding sides, angles, diagonals, etc., are homologous. Davies & Peck (Math. Dict. ). (b) (Alg.)  Having the same relative proportion or value, as the two antecedents or the two consequents of a proportion. (c) (Chem.) Characterized by homology; belonging to the same type or series; corresponding in composition and properties. See Homology, 3. (d) (Biol.) Being of the same typical structure; having like relations to a fundamental type to structure; as, those bones in the hand of man and the fore foot of a horse are homologous that correspond in their structural relations, that is, in thier relations to the type structure of the fore limb in vertebrates. Homologous stimulus. (Physiol.) See under Stimulus.
homolographic |Preserving the mutual relations of parts, especially as to size and form; maintaining relative proportion. Homolographic projection, a method of constructing geographical charts or maps, so that the surfaces, as delineated on a plane, have the same relative size as the real surfaces; that is, so that the relative actual areas of the different countries are accurately represented by the corresponding portions of the map.
homologue |That which is homologous to something else; as, the corresponding sides, etc., of similar polygons are the homologues of each other; the members or terms of an homologous series in chemistry are the homologues of each other; one of the bones in the hand of man is the homologue of that in the paddle of a whale.
homology |1. The quality of being homologous; correspondence; relation; as, the homologyof similar polygons. 2. (Biol.)  Correspondence or relation in type of structure in contradistinction to similarity of function; as, the relation in structure between the leg and arm of a man; or that between the arm of a man, the fore leg of a horse, the wing of a bird, and the fin of a fish, all these organs being modifications of one type of structure. Note: Homology indicates genetic relationship, and according to Haeckel special homology should be defined in terms of identity of embryonic origin. See Homotypy, and Homogeny. 3. (Chem.)  The correspondence or resemblance of substances belonging to the same type or series; a similarity of composition varying by a small, regular difference, and usually attended by a regular variation in physical properties; as, there is an homology between methane, CH4, ethane, C2H6, propane, C3H8, etc., all members of the paraffin series. In an extended sense, the term is applied to the relation between chemical elements of the same group; as, chlorine, bromine, and iodine are said to be in homology with each other. Cf. Heterology. General homology (Biol.), the higher relation which a series of parts, or a single part, bears to the fundamental or general type on which the group is constituted. Owen. -- Serial homology (Biol.), representative or repetitive relation in the segments of the same organism, -- as in the lobster, where the parts follow each other in a straight line or series. Owen. See Homotypy. -- Special homology (Biol.), the correspondence of a part or organ with those of a different animal, as determined by relative position and connection. Owen.
homomallous |Uniformly bending or curving to one side; -- said of leaves which grow on several sides of a stem.
homomorphic |Characterized by homomorphism.
homomorphism |1. (Biol.)  Same as Homomorphy. 2. (Bot.)  The possession, in one species of plants, of only one kind of flowers; -- opposed to heteromorphism, dimorphism, and trimorphism. 3. (Zoöl.)  The possession of but one kind of larvæ or young, as in most insects.
homomorphous |Characterized by homomorphism.
homomorphy |Similarity of form; resemblance in external characters, while widely different in fundamental structure; resemblance in geometric ground form. See Homophyly, Promorphology.
homonomous |Of or pertaining to homonomy.
homonomy |The homology of parts arranged on transverse axes. Haeckel.
homonym |A word having the same sound as another, but differing from it in meaning; as the noun bear and the verb bear. [Written also homonyme.]
homonymous |1. Having the same name or designation; standing in the same relation; -- opposed to heteronymous. 2. Having the same name or designation, but different meaning or relation; hence, equivocal; ambiguous.
homonymously |1. In an homonymous manner; so as to have the same name or relation. 2. Equivocally; ambiguously.
homonymy |1. Sameness of name or designation; identity in relations. Holland. Homonymy may be as well in place as in persons. Fuller. 2. Sameness of name or designation of things or persons which are different; ambiguity.
homooergan |Same as Homoplast.
homoorgan |Same as Homoplast.
homoousian |One of those, in the 4th century, who accepted the Nicene creed, and maintained that the Son had the same essence or substance with the Father; -- opposed to homoiousian.\n\nOf or pertaining to the Homoousians, or to the doctrines they held.
homophone |1. A letter or character which expresses a like sound with another. Gliddon. 2. A word having the same sound as another, but differing from it in meaning and usually in spelling; as, all and awl; bare and bear; rite, write, right, and wright.
homophonic |1. (Mus.) (a) Originally, sounding alike; of the same pitch; unisonous; monodic. (b) Now used for plain harmony, note against note, as opposed to polyphonic harmony, in which the several parts move independently, each with its own melody. 2. Expressing the same sound by a different combination of letters; as, bay and bey.
homophonous |1. (Mus.) (a) Originally, sounding alike; of the same pitch; unisonous; monodic. (b) Now used for plain harmony, note against note, as opposed to polyphonic harmony, in which the several parts move independently, each with its own melody. 2. Expressing the same sound by a different combination of letters; as, bay and bey.
homophony |1. Sameness of sound. 2. (Mus.) (a) Sameness of sound; unison. (b) Plain harmony, as opposed to polyphony. See Homophonous.
homophylic |Relating to homophily.
homophyly |That form of homology due to common ancestry (phylogenetic homology), in opposition to homomorphy, to which genealogic basis is wanting. Haeckel.
homoplasmy |Resemblance between different plants or animals, in external shape, in general habit, or in organs, which is not due to descent from a common ancestor, but to similar surrounding circumstances.
homoplast |One of the plastids composing the idorgan of Haeckel; -- also called homoörgan.
homoplastic |Of or pertaining to homoplasty; as, homoplasticorgans; homoplastic forms.
homoplasty |The formation of homologous tissues.
homoplasy |See Homogeny.
homopolic |In promorphology, pertaining to or exhibiting that kind of organic form, in which the stereometric ground form is a pyramid, with similar poles. See Promorphology.
homopter |One of the Homoptera.
homoptera |A suborder of Hemiptera, in which both pairs of wings are similar in texture, and do not overlap when folded, as in the cicada. See Hemiptera.
homopteran |An homopter.
homopterous |Of or pertaining to the Homoptera.
homostyled |Having only one form of pistils; -- said of the flowers of some plants. Darwin.
homosystemic |Developing, in the case of multicellular organisms, from the same embryonic systems into which the secondary unit (gastrula or plant enbryo) differentiates.
homotaxia |Same as Homotaxis.
homotaxial |Relating to homotaxis.
homotaxic |Relating to homotaxis.
homotaxis |Similarly in arrangement of parts; -- the opposite of heterotaxy.
homotaxy |Same as Homotaxis.
homothermic |Warm-blooded; homoiothermal; hæmatothermal.
homothermous |Warm-blooded; homoiothermal; hæmatothermal.
homotonous |Of the same tenor or tone; equable; without variation.
homotropal |1. Turned in the same direction with something else. 2. (Bot.)  Having the radicle of the seed directed towards the hilum.
homotropous |1. Turned in the same direction with something else. 2. (Bot.)  Having the radicle of the seed directed towards the hilum.
homotypal |Of the same type of structure; pertaining to a homotype; as, homotypal parts.
homotype |That which has the same fundamental type of structure with something else; thus, the right arm is the homotype of the right leg; one arm is the homotype of the other, etc. Owen.
homotypic |Same as Homotypal.
homotypical |Same as Homotypal.
homotypy |A term suggested by Haeckel to be instead of serial homology. See Homotype.
homunculus |A little man; a dwarf; a manikin. Sterne.
hond |Hand. [Obs.] Chaucer.
hone |To pine; to lament; to long. Lamb.\n\nA kind of swelling in the cheek.\n\nA stone of a fine grit, or a slab, as of metal, covered with an abrading substance or powder, used for sharpening cutting instruments, and especially for setting razors; an oilstone. Tusser. Hone slateSee Polishing slate. -- Hone stone, one of several kinds of stone used for hones. See Novaculite.\n\nTo sharpen on, or with, a hone; to rub on a hone in order to sharpen; as, to hone a razor.
honest |1. Decent; honorable; suitable; becoming. Chaucer. Belong what honest clothes you send forth to bleaching! Shak. 2. Characterized by integrity or fairness and straightas, an honest judge or merchant; an honest statement; an honest bargain; an honest business; an honest book; an honest confession. An honest man's the noblest work of God. Pope. An honest physician leaves his patient when he can contribute no farther to his health. Sir W. Temple. Look ye out among you seven men of honest report. Acts vi. 3. Provide things honest in the sight of all men. Rom. xii. 17. 3. Open; frank; as, an honest countenance. 4. Chaste; faithfuk; virtuous. Wives may be merry, and yet honest too. Shak. Syn. -- Upright; ingenuous; honorable; trusty; faithful; equitable; fair; just; rightful; sincere; frank; candid; genuine.\n\nTo adorn; to grace; to honor; to make becoming, appropriate, or honorable. [Obs.] Abp. Sandys.
honestation |The act of honesting; grace; adornment. [Obs.] W. Montagu.
honestetee |Honesty; honorableness. [Obs.] Chaucer.
honestly |1. Honorably; becomingly; decently. [Obs.] Chaucer. 2. In an honest manner; as, a contract honestly made; to live honestly; to speak honestly. Shak. To come honestly by. (a) To get honestly. (b) A circumlocution for to inherit; as, to come honestly by a feature, a mental trait, a peculiarity.
honesty |1. Honor; honorableness; dignity; propriety; suitableness; decency. [Obs.] Chaucer. She derives her honesty and achieves her goodness. Shak. 2. The quality or state of being honest; probity; fairness and straightforwardness of conduct, speech, etc.; integrity; sincerity; truthfulness; freedom from fraud or guile. That we may lead a quiet and peaceable life in all godliness and honesty. 1 Tim. ii. 2. 3. Chastity; modesty. Chaucer. To lay . . . siege to the honesty of this Ford's wife. Shak. 4. (Bot.)  Satin flower; the name of two cruciferous herbs having large flat pods, the round shining partitions of which are more beautiful than the blossom; -- called also lunary and moonwort. Lunaria biennis is common honesty; L. rediva is perennial honesty. Syn. -- Integrity; probity; uprightness; trustiness; faithfulness; honor; justice; equity; fairness; candor; plain-dealing; veracity; sincerity.
honewort |An umbelliferous plant of the genus Sison (S.Amomum); -- so called because used to cure a swelling called a hone.
honey |1. A sweet viscid fluid, esp. that collected by bees from flowers of plants, and deposited in the cells of the honeycomb. 2. That which is sweet or pleasant, like honey. The honey of his language. Shak. 3. Sweet one; -- a term of endearment. Chaucer. Honey, you shall be well desired in Cyprus. Shak. Note: Honey is often used adjectively or as the first part of compound; as, honeydew or honey dew; honey guide or honeyguide; honey locust or honey-locust. Honey ant (Zoöl.), a small ant (Myrmecocystus melliger), found in the Southwestern United States, and in Mexico, living in subterranean formicares. There are larger and smaller ordinary workers, and others, which serve as receptacles or cells for the storage of honey, their abdomens becoming distended to the size of a currant. These, in times of scarcity, regurgitate the honey and feed the rest. -- Honey badger (Zoöl.), the ratel. -- Honey bear. (Zoöl.) See Kinkajou. -- Honey buzzard (Zoöl.), a bird related to the kites, of the genus Pernis. The European species is P. apivorus; the Indian or crested honey buzzard is P. ptilorhyncha. They feed upon honey and the larvæ of bees. Called also bee hawk, bee kite. -- Honey creeper (Zoöl.), one of numerous species of small, bright, colored, passerine birds of the family Coerebidæ, abundant in Central and South America. -- Honey easter (Zoöl.), one of numerous species of small passerine birds of the family Meliphagidæ, abundant in Australia and Oceania; - - called also honeysucker. -- Honey flower (Bot.), an evergreen shrub of the genus Melianthus, a native of the Cape of Good Hope. The flowers yield much honey. -- Honey guide (Zoöl.), one of several species of small birds of the family Indicatoridæ, inhabiting Africa and the East Indies. They have the habit of leading persons to the nests to wild bees. Called also honeybird, and indicator. -- Honey harvest, the gathering of honey from hives, or the honey which is gathered. Dryden. -- Honey kite. (Zoöl.) See Honey buzzard (above). -- Honey locust (Bot.), a North American tree (Gleditschia triacanthos), armed with thorns, and having long pods with a sweet pulp between the seeds. -- Honey month. Same as Honeymoon. -- Honey weasel (Zoöl.), the ratel.\n\nTo be gentle, agreeable, or coaxing; to talk fondly; to use endearments; also, to be or become obsequiously courteous or complimentary; to fawn. \"Honeying and making love.\" Shak. Rough to common men, But honey at the whisper of a lord. Tennyson.\n\nTo make agreeable; to cover or sweeten with, or as with, honey. Canst thou not honey me with fluent speech Marston.
honey-bag |The receptacle for honey in a honeybee. Shak. Grew.
honey-mouthed |Soft to sweet in speech; persuasive. Shak.
honey-sweet |Sweet as honey. Chaucer.
honey-tongued |Sweet speaking; persuasive; seductive. Shak.
honeybee |Any bee of the genus Apis, which lives in communities and collects honey, esp. the common domesticated hive bee (Apis mellifica), the Italian bee (A. ligustica), and the Arabiab bee (A. fasciata). The two latter are by many entomologists considered only varieties of the common hive bee. Each swarm of bees consists of a large number of workers (barren females), with, ordinarily, one queen or fertile female, but in the swarming season several young queens, and a number of males or drones, are produced.
honeyberry |(a) An Old World hackberry (Celtis australis). (b) In the West Indies, the genip (Melicocca bijuga).
honeybird |The honey guide.
honeycomb |1. A mass of hexagonal waxen cells, formed by bees, and used by them to hold their honey and their eggs. 2. Any substance, as a easting of iron, a piece of worm-eaten wood, or of triple, etc., perforated with cells like a honeycomb. Honeycomb moth (Zoöl.), the wax moth. -- Honeycomb stomach. (Anat.) See Reticulum.
honeycombed |Formed or perforated like a honeycomb. Each bastion was honeycombed with casements. Motley.
honeydew |1. A sweet, saccharine substance, found on the leaves of trees and other plants in small drops, like dew. Two substances have been called by this name; one exuded from the plants, and the other secreted by certain insects, esp. aphids. 2. A kind of tobacco moistened with molasses.
honeyed |1. Covered with honey. 2. Sweet, as, honeyed words. Milton.
honeyless |Destitute of honey. Shak.
honeymoon |The first month after marriage. Addison.
honeystone |See Mellite.
honeysucker |See Honey eater, under Honey.
honeysuckle |One of several species of flowering plants, much admired for their beauty, and some for their fragrance. Note: The honeysuckles are properly species of the genus Lonicera; as, L. Caprifolium, and L. Japonica, the commonly cultivated fragrant kinds; L. Periclymenum, the fragrant woodbine of England; L. grata, the American woodbine, and L. sempervirens, the red-flowered trumpet honeysuckle. The European fly honeysuckle is L. Xylosteum; the American, L. ciliata. The American Pinxter flower (Azalea nudiflora) is often called honeysuckle, or false honeysuckle. The name Australian honeysuckle is applied to one or more trees of the genus Banksia. See French honeysuckle, under French.
honeysuckled |Covered with honeysuckles.
honeyware |See Badderlocks.
honeywort |A European plant of the genus Cerinthe, whose flowers are very attractive to bees. Loudon.
hong |A mercantile establishment or factory for foreign trade in China, as formerly at Canton; a succession of offices connected by a common passage and used for business or storage. Hong merchant, one of the few Chinese merchants who, previous to the treaty of 1842, formed a guild which had the exclusive privilege of trading with foreigners.\n\nTo hang. [Obs.] Chaucer.
honied |See Honeyed.
honiton lace |. A kind of pillow lace, remarkable for the beauty of its figures; -- so called because chiefly made in Honiton, England.
honk |The cry of a wild goose. -- Honk\"ing, n.
